OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR001,CM52,"Adj Mill Hill Phase 2, Mill Hill, Cleator Moor",https://www.copeland.gov.uk/sites/default/files/attachments/cbr001_mill_hill_phase_2.pdf,OSGB36,301001,516145,1.34,not owned by a public authority,yes,permissioned,full planning permission,11/04/2018,,,16,16 Dwellings,,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR003,MM10,County Highways Depot Holborn Hill,https://www.copeland.gov.uk/sites/default/files/attachments/cbr003_former_highways_depot.pdf,OSGB36,316824,480378,0.35,not owned by a public authority,yes,permissioned,reserved matters approval,13/01/2017,,,8,Reserved Matters For Full Development Details (8 Dwellings),,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR004,MM4,Former Ashburners Compound Millom Road,https://www.copeland.gov.uk/sites/default/files/attachments/cbr004_former_ashburners_compound.pdf,OSGB36,317639,480314,0.16,not owned by a public authority,yes,permissioned,full planning permission,08/01/2009,,,9,Demolition Of Existing Commercial Building & Erection Of Nine Dwellings (Resubmission Of 4/08/2146/0),,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR005,,Former Cinema Buildings Bookwell Street,https://www.copeland.gov.uk/sites/default/files/attachments/crb005_former_cinema_egremont.pdf,OSGB36,300964,510570,0.14,not owned by a public authority,yes,permissioned,reserved matters approval,01/05/2018,,,8,Reserved Matters For Full Development Details (8 Dwellings),,,,,,,,22/12/2017,17/12/2018
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR006,,Former Lakeland Laundry,https://www.copeland.gov.uk/sites/default/files/attachments/cbr006_former_lakeland_laundary.pdf,OSGB36,297405,516789,1.31,not owned by a public authority,yes,permissioned,full planning permission,07/02/2007,,,48,48 Dwellings,,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR007,,Former Nightclub Meadow Road,https://www.copeland.gov.uk/sites/default/files/attachments/cbr007_former_nightclub_whitehaven.pdf,OSGB36,297739,516367,0.25,not owned by a public authority,yes,pending decision,,,,,28,21 Apartments and 7 Bungalows for residents for 55+,,,,,,,,22/12/2017,17/12/2018
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR008,,Former Outbuildings Seacote Hotel,https://www.copeland.gov.uk/sites/default/files/attachments/cbr008_former_outbuildings_0.pdf,OSGB36,296284,511746,0.46,not owned by a public authority,yes,permissioned,full planning permission,23/09/2013,,,8,"Improved Vehicle Access & Proposed Alterations To Car Park, Plus Construction Of 8 New Houses",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR009,WE7,Former Sekers Factory Main Street,https://www.copeland.gov.uk/sites/default/files/attachments/cbr009_former_sekers_factory_site_0.pdf,OSGB36,299125,517125,1.26,not owned by a public authority,yes,permissioned,full planning permission,31/03/2017,,,60,60 Bed Care Home with the other half of the site proposed for housing,,,,,,,,22/12/2017,17/12/2018
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR010,,"Land at East Road, Egremont",https://www.copeland.gov.uk/sites/default/files/attachments/cbr010_land_at_east_road_egremont.pdf,OSGB36,301106,511182,0.46,not owned by a public authority,,pending decision,,,,,25,ERECTION OF 28 NO. APARTMENTS OVER 3.5 STOREYS AND 13 NO. DWELLINGS OVER 2.5 STOREYS WITH ASSOCIATED LANDSCAPING AND CAR PARKING,,,,,,,,22/12/2017,17/12/2018
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR011,Mr2,Land rear to Rusper Drive,https://www.copeland.gov.uk/sites/default/files/attachments/cbr011_land_rear_to_rusper_drive_0.pdf,OSGB36,300094,514372,1.55,not owned by a public authority,yes,permissioned,outline planning permission,15/08/2017,,,26,Outline Application For The Erection Of 26 Dwellings,,,,,,,,31/01/2018,22/12/2017
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR012,WS3,"Old Welfare Home, Whitehaven",https://www.copeland.gov.uk/sites/default/files/attachments/cbr012_old_welfare_home_0.pdf,OSGB36,297520,516308,3.38,not owned by a public authority,yes,permissioned,full planning permission,20/04/2015,,,107,Residential Development (107 Dwellings),,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR013,Ha1,"Poolside, Haverigg",https://www.copeland.gov.uk/sites/default/files/attachments/cbr013_poolside_haverigg.pdf,OSGB36,316221,478724,3,not owned by a public authority,yes,permissioned,full planning permission,13/04/2016,,,81,New Housing Development of 81 Dwellings,,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR014,WE,"Romar Site, Main Street",https://www.copeland.gov.uk/sites/default/files/attachments/cbr014_romar_site_whitehaven_0.pdf,OSGB36,298986,517034,0.91,not owned by a public authority,yes,permissioned,outline planning permission,05/07/2017,,,29,Demolition Of Factory And Outline Planning For Erection Of Dwellings,,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR015,,St Michaels Chapel Moresby Parks Road,https://www.copeland.gov.uk/sites/default/files/attachments/cbr015_st_michaels_chapel_moresby.pdf,OSGB36,299729,519257,0.1,not owned by a public authority,yes,pending decision,,,,,5,Construction of 5 No. Detached Dwellings,,,,,,,,22/12/2017,17/12/2018
