OrganisationURl,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,Net DwelingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdateDate,SiteProforma
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR2,,"""Stoners Close, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=457842.366&cpy=103334.271&scale=1000&redraw=cp,ETRS89,50.826655,-1.180108,0.2,owned by a public authority,,not permissioned,,,,,5,,,,5,17,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr2.pdf
http://opendatacommunities.org/id/district-council/gosport,Gosport Borough Council,BR3,,"""Lapthorn Close, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=457870.129&cpy=103917.385&scale=1000&redraw=cp,ETRS89,50.831896,-1.179621,0.2,owned by a public authority,,not permissioned,,,,,6,,,,6,12,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr3.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR8,,"""Wheeler Close, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=460574.763&cpy=100896.358&scale=1000&redraw=cp,ETRS89,50.808123,-1.15264,0.19,owned by a public authority,,not permissioned,,,,,1,,,,1,14,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr8.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR9,,"""124 - 128 Brockhurst Road, Brockhurst Road, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=459797.129&cpy=101296.018&scale=1000&redraw=cp,ETRS89,50.80813,-1.152689,0.11,not owned by a public authority,,permissioned,,,,,4,,,,4,7,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr9.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR11,,"""LOTS Sailing Club, Marine Parade East, Lee on the Solent""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=456598.446&cpy=100072.65&scale=1000&redraw=cp,ETRS89,50.79745,-1.19827,0.16,not owned by a public authority,,permissioned,,,,,9,,,,9,14,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr11.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR14,,"""Priddy's Hard, Heritage Way, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=461692.282&cpy=101183.07&scale=2000&redraw=cp,ETRS89,50.806537,-1.127447,9.858,not owned by a public authority,,permissioned,,,,,100,,,,100,130,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr14.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR16,,"""Crewsaver, Harbour Road, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=461962.462&cpy=100123.841&scale=500&redraw=cp,ETRS89,50.797362,-1.122158,0.16,not owned by a public authority,,permissioned,,,,,31,,,,31,31,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr16.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR17,,"""Fort Gilkicker, Military Road, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=460669.129&cpy=97503.780&scale=1000&redraw=cp,ETRS89,50.773941,-1.14094,1.2,not owned by a public authority,,permissioned,,,,,26,,,,26,26,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr17.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR18,,"""Rowner Renewal, Grange Road, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=458712.146&cpy=100518.226&scale=5000&redraw=cp,ETRS89,50.801247,-1.16821,14.6,not owned by a public authority,,permissioned,,,,,700 (200 net),,,,700 (200 net),700 (200 net),,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr18.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR21,,"""Haslar Hospital, Haslar Road, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=461744.694&cpy=98687.688&scale=5000&redraw=cp,ETRS89,50.784472,-1.125489,23.03,not owned by a public authority,,permissioned,,,,,286,,,,286,286,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr21.pdf
