OrganisationURI,OrganisationLabel,"SiteReference
",PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-44,,"?Knight Dragon site, Edmund Halley Way Greenwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,539283,179608,46.11,Unknown ownership,Yes,Permissioned,Outline planning permission,2015-12-08,,,6000,"?15/0716/O. Outline planning permission with all matters reserved for the demolition of buildings and mixed use redevelopment comprising Class C3 (dwellings) use up to 12,678 residential dwellings (or up to 1,171,909 m�) and up to 220 serviced apartments (or up to 20,306 m�); Class A1-A5 use (food and non-food retail, restaurants, bars and cafes) up to 23,475 m�; Class B1(a)(b)(c) (business) up to 59,744 m�; Class C1 (hotel) up to 35,999 m� for up to 500 rooms; Class D1 (education facilities) up to 37,900 m�; Class D1 (health care facilities) up to 1,462 m�; Class D1/D2 (visitor attraction) up to 19,526 m�; sui generis use for film and media studios up to 38,693 m�; residential and non-residential car parking as well as a minimum of 2000 AEG parking spaces (for the O2); cycle parking; associated community facilities; public realm and open space; hard and soft landscaping; a new transport hub and associated facilities; works to the river wall; a ferry jetty terminal; a 5 km running track traversing the entire site (P5K running track); highway and transport works, including amendments to the Thames Footpath and Cyclepath; and, associated ancillary works.""","?Up to 220 serviced apartments (or up to 20,306 m�); Class A1-A5 use (food and non-food retail, restaurants, bars and cafes) up to 23,475 m�; Class B1(a)(b)(c) (business) up to 59,744 m�; Class C1 (hotel) up to 35,999 m� for up to 500 rooms; Class D1 (education facilities) up to 37,900 m�; Class D1 (health care facilities) up to 1,462 m�; Class D1/D2 (visitor attraction) up to 19,526 m�; sui generis use for film and media studios up to 38,693 m�; a minimum of 2000 AEG parking spaces (for the O2); a new transport hub and associated facilities; works to the river wall; a ferry jetty terminal; a 5 km running track traversing the entire site (P5K running track); highway and transport works, including amendments to the Thames Footpath and Cyclepath; and, associated ancillary works.?",,,,,,"?Anticipated that 6,000 dwellings will be completed within a 15-year timeframe up to 2032.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-45,,"?Holt Court, 26 Horseferry Place Greenwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,538059,177844,0.04,Unknown ownership,Yes,Permissioned,Full planning permission,2015-12-09,,,32,?14/1775/F. Demolition of the existing buildings and redevelopment to provide a part 6/part 10-storey building comprising 197 sq. m of retail floorspace (A1/A2/A3/D1) and 41 self-contained residential units.?,?197 m� of retail floorspace (A1/A2/A3/D1)?,,,,,,"""Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-47,,"?Creekside East, Creek Rd & Copperas St Deptford?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,537786,177639,0.47,Unknown ownership,Yes,Permissioned,Full planning permission,2015-12-14,,,249,"?14/3795/F. Redevelopment of the site comprising the construction of two blocks to provide 249 residential units, 800 m� of flexible commercial floor space (Use Class A1, A2, A3, B1 and D1 including the provision of a nursery) and the provision of vehicular access, associated servicing facilities, car parking, cycle parking, public realm and landscaping including intertidal terracing.?","""800 m� of flexible commercial floor space (Use Class A1, A2, A3, B1 and D1 including the provision of a nursery).""",,,,,,"""Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-48,,"?Enderby Place (northern part of Enderby Wharf), Banning St & Christchurch Way Greenwich""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,539209,178727,3.03,Unknown ownership,Yes,Permissioned,Full planning permission,2015-12-23,,,477,"?15/0973/F. Revised application for the northern element of the Enderby Wharf Development comprising the erection of a cruise liner terminal building, skills academy (Use Class D1), 477 residential units (increasing from 93) (Use Class C3), retail, restaurants and cafes and drinking establishments (Use Classes A1, A3 and A4), vehicular access with associated servicing facilities, car parking, landscaping, public realm (including improvements to the Thames Path), play spaces, infrastructure and associated parking (Additional Information and Revised Plans).?","?Cruise liner terminal building, skills academy (Use Class D1), retail, restaurants and cafes and drinking establishments (Use Classes A1, A3 and A4).?",,,,,,"?Started. Formerly part of Enderby Wharf site.""
",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-49,,?1 Anglesea Mews Woolwich?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543700,178662,0.01,Unknown ownership,Yes,Permissioned,Full planning permission,2016-03-04,,,5,?15/3214/F. Conversion of former medical centre to provide 5 dwellings with alteration to the roof.?,,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-50,,?97-101 Powis St Woolwich?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543443,179003,0.04,Unknown ownership,Yes,Permissioned,Full planning permission,2016-03-15,,,9,?15/3660/F. Construction of second and third floors together with the conversion to residential providing 6 x 1-brm and 3 x 2-brm over ground floor retail unit and installation of new shop front.?,"?Ground floor retail unit.""",,,,,,"""Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-51,,"?Sunbury Lodge, 1 Sunbury St Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542985,179055,0.26,Unknown ownership,Yes,Permissioned,Full planning permission,2016-03-31,,,48,"?15/3555/F. Demolition of the existing care home and redevelopment of the site to provide 48 residential units: 14 x 1-brm, 21 x 2-brm, and 10 x 3-brm flats, and 3 x 2-brm houses incorporating 17 affordable residential units with associated car and cycle parking and landscaping.?",,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-52,,?2-12 Blackwall Lane Greenwich?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,539488,178289,0.06,Unknown ownership,Yes,Permissioned,Full planning permission,2016-04-25,,,18,"?15/0451/F. Demolition of all structures on site above ground (with retention of basement) and construction of a part 4/part 5-storey building comprising social club at ground and basement level with an office unit at ground floor and 18 apartments above (7 x 1-brm, 10 x 2-brm,  1 x 3-brm).?",?Social club at ground and basement levels?,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-54,,?29 Market St Woolwich?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543357,178827,0.10,Unknown ownership,Yes,Permissioned,Full planning permission,2016-05-12,,,22,"?14/3763/F. Conversion of former Woolwich Police Station buildings into 19 residential flats including extensions, external alterations and internal alterations; together with demolition of existing outbuildings and erection of three mews houses and landscaping. (Total of 22 units comprising 5 x studios, 7 x 1-brm units, 9 x 2-brm units and 1 x 3-brm units).?",,,,,,,"""Started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-55,,"?Plots N0205, N0206 & N0207, Peninsula Square, West Parkside Greenwich ?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,539492,179936,1.63,Unknown ownership,Yes,Permissioned,Other,2016-05-31,,,"1,007","?16/0186/MA. Demolition of building on Plot N0205 (the Rotunda) and erection of 5 buildings comprising 1007 residential units (includes an increase of 137 units over and above the 2004 Masterplan consent figure of 10,010 dwellings) on Plots N0205, N0206 & N0207, 2,039 sq.m of non-residential floor space (A1/A2/A3/A4/D1/D2 uses), private and communal amenity space, car parking, circulation, servicing and access, public realm, hard and soft landscaping, amendments to the alignment of the Thames Path and associated works.?","?2,039 m� of non-residential floor space (A1/A2/A3/A4/D1/D2 uses).?",,,,,,"""Started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-56,,"?Old Loyal Britons PH, 62 Thames St Greenwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,538067,177818,0.02,Unknown ownership,Yes,Permissioned,Full planning permission,2016-07-18,,,9,?14/1636/F. Planning & conservation area consents for demolition of existing building & erection of new 6 storey building to provide a restaurant and nine flats.?,?Restaurant?,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-57,,?25-31 The Village Charlton?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,541569,177877,0.03,Unknown ownership,Yes,Permissioned,Full planning permission,2016-08-02,,,6,?16/1266/F. Construction of a new partial 2nd floor and 3 storey plus basement rear extension including the conversion of upper and rear parts to form 8 self-contained flats together with the installation of new shop fronts.?,?Installation of new shop fronts?,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-58,,"?Penhall Tyres Ltd, 700 Woolwich Rd Charlton?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,541928,178921,0.06,Unknown ownership,Yes,Permissioned,Full planning permission,2016-08-08,,,14,?14/0289/F. Demolition of existing site buildings and erection of 5 storey block of flats comprising 14 flats along with 2 commercial business units.?,"""2 commercial business units.?",,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-59,,?445 Woolwich Rd Charlton?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540963,178484,0.04,Unknown ownership,Yes,Permissioned,Full planning permission,2016-09-19,,,73,"?16/0132/F. Demolition of existing building and construction of buildings up to 7 storeys in height to provide 73 dwellings and one ground floor flexible Use Class A1/A2/A3 or A4 unit with associated car and cycle parking at basement level, access, landscaping and amenity space.?",?Ground floor flexible Use Class A1/A2/A3 or A4 unit?,,,,,,"?Started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-60,,"?Plots MO104 & MO121 (land west of coal jetty), Pilot Way, Barge Walk & Olympian Way Greenwich.""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,539688,179641,3.53,Unknown ownership,Yes,Permissioned,Other,2016-09-20,,,528,"?15/2104/MA. Residential development comprising 260 units and 220 m� of A1/A2/A3 use on Plot MO121 as well as private and communal amenity space, car parking and cycle parking, circulation, servicing and access, public realm, hard and soft landscaping, associated works, associated open space and pedestrian access. 13/2865/F. Residential development comprising 268 units on Plot MO104 and 251 units on Plot MO121, 394 m� of A1/A2/A3 use, private and communal amenity space, car parking and cycle parking, circulation, servicing and access, public realm, hard and soft landscaping and associated works and the refurbishment of the coal jetty to provide a 915 m� two/part three storey mixed use pavilion building to provide facilities and infrastructure for vessels (sui generis) and associated visitor centre, retail use, cafes/restaurant, exhibition/education and performing arts space (falling within class A1/A3/D1/D2 use) and associated open space and pedestrian access.?","""394 m� of A1/A2/A3 use, private and communal amenity space, car parking and cycle parking, circulation, servicing and access, public realm, hard and soft landscaping and associated works and the refurbishment of the coal jetty to provide a 915 m� two/part three storey mixed use pavilion building to provide facilities and infrastructure for vessels (sui generis) and associated visitor centre, retail use, cafes/restaurant, exhibition/education and performing arts space (falling within class A1/A3/D1/D2 use)",,,,,,"?Started.15/2104/MA amended original permission to increase residential units on Plot M0121 from 251 to 260.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-61,,"?Rochester Way Social Club and adjoining open space, Rochester Way & Briset Rd Eltham?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,541789,175595,0.47,Unknown ownership,Yes,Permissioned,Full planning permission,2016-10-20,,,29,"?16/1579/F. Demolition of the existing buildings and redevelopment of the site to provide 29 new dwellings (23 houses, 3 maisonettes and 3 flats) and a community use building.?","""Community use building""",,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-62,,"?1st & 2nd Floors, Murray's Yard, 26-28 Powis St Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543634,178948,0.02,Unknown ownership,Yes,Permissioned,Full planning permission,2016-10-20,,,2,?16/1990/F. Conversion of property from 2 x 2-brm and 1 x 1-brm into 5 x 1-brm units.?,,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-63,,"?The Albion PH, 48 Woolwich Church St Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542306,179016,0.01,Unknown ownership,Yes,Permissioned,Full planning permission,2016-11-01,,,40,?16/0762/F. Redevelopment of existing restaurant and site to provide 13 storey mixed use building comprising of ground floor flexible use A3/A4 commercial space with 40 self-contained flats above.?,?Ground floor flexible use A3/A4 commercial space?,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-64,,?Land rear of 2-36 Bevan Rd Abbey Wood?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,546584,178255,0.22,Unknown ownership,Yes,Permissioned,Full planning permission,2016-11-11,,,11,?16/1621/F. Redevelopment of the site to provide 11 new flats (6 x 1-brm and 5 x 2-brm) and one dayroom.?,"""Dayroom""",,,,,,"""Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-65,,?Garages rear of 7-22 Prentiss Court Charlton?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,541589,178590,0.34,Unknown ownership,Yes,Permissioned,Full planning permission,2016-11-30,,,10,"?16/1622/F. Demolition of existing garages and ball games areas and redevelopment of the site to provide 10 residential units (7 x 1-brm and 3 x 2-brm), new playground, gym equipment, communal gardens, car parking and associated landscaping.?",,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-66,,"?Queens Arms PH, 23 Burrage Rd Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,544050,178804,0.03,Unknown ownership,Yes,Permissioned,Full planning permission,2017-01-06,,,5,"?16/2405/F. Retention of public house and construction of a second floor extension to facilitate the creation of 1 x 1-brm and 4 x 2-brm self-contained flats at ground, first and second floor levels.?",?Retention of public house?,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-67,,?51 Herbert Rd Woolwich?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543752,177620,0.03,Unknown ownership,Yes,Permissioned,Full planning permission,2017-01-06,,,5,"?16/2008/F. Demolition of garage and extension, and construction of 2-storey rear extension over enlarged basement to facilitate the conversion of property into 5 self-contained flats (2 x 1-brm, 3 x 2-brm flats).?",,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-70,,?260-262 Green Lane Mottingham?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543501,172612,0.07,Unknown ownership,Yes,Permissioned,Full planning permission,2017-02-24,,,10,"?16/0273/F. Demolition of existing houses and redevelopment to provide a 4-storey building of 12 residential flats (5 x 1-brm, 4 x 2-brm, 3 x 3-brm) with associated amenity space, landscaping, refuse and recycling storage, car and cycle parking, and adjustment of the vehicular access from Green Lane.?",,,,,,,"""Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-71,,?37 Greenwich High Rd Greenwich?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,537593,177029,0.38,Unknown ownership,Yes,Permissioned,Full planning permission,2017-03-07,,,125,"?16/1792/F. Redevelopment of the site to provide 125 residential units, 513 m� of commercial floor space (use classes A1, A2, A3, B1 or D1), ranging from 4 to 14-storeys and a stand-alone commercial unit; 24 carspaces (including car club and accessible provision), private and communal landscaped amenity areas, secure cycle parking and other associated development.?","""513 m� of commercial floor space (use classes A1, A2, A3, B1 or D1)""",,,,,,"""Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-72,,?48-60 Footscray Rd Eltham?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543412,174102,0.09,Unknown ownership,Yes,Permissioned,Full planning permission,2017-03-10,,,38,"?15/2910/F. Redevelopment comprising 38, one and two-brm sheltered apartments for the elderly including communal facilities, access, car parking and landscaping.?",,,,,,,"""Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-73,,?258-260 Creek Rd Greenwich?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,538042,177687,0.02,Unknown ownership,Yes,Permissioned,Full planning permission,2017-03-14,,,9,?16/3328/F. Demolition of existing buildings and construction of a part 4/part 5 storey building including basement comprising flexible A1/A2/B1 at ground and lower ground floor level and 9 self-contained flats above.?,"""Flexible A1/A2/B1 at ground and lower ground floor levels""",,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-75,,"?Buildings 10 & 11 & Royal Carriage Square, Woolwich Arsenal Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543934,179073,1.00,Unknown ownership,Yes,Permissioned,Full planning permission,2017-03-24,,,146,"?16/2807/F. Change of use and alteration of two Grade II Listed Buildings to provide mixed use development comprising 146 residential units with refuse/recycling and cycle parking, 2150 sqm commercial use and a public square with vehicle access and drop off, and landscaping.?","?2,150 m� commercial use?",,,,,,"""Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-76,,"?Morris Walk (South) Estate, Prospect Vale & Maryon Rd Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542203,178851,4.30,Unknown ownership,Yes,Permissioned,Outline planning permission,2017-04-02,,,52,"?14/0126/O. Redevelopment of the Morris Walk Estate (South) comprising of the construction of up to 462 residential dwellings with associated access, parking and private and public open spaces.?",,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-77,,"?Lovells, Granite, Badcocks & Pipers Wharves (River Gardens), Pelton Rd & Banning St Greenwich""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,539144,178515,2.84,Unknown ownership,Yes,Permissioned,Other,2017-04-05,,,840,"?16/2552/MA. A minor material amendment under Section 73 to vary Condition 1 (Approved Plans) of planning permission (LPA Ref: 14/0460/F) involving alterations to the elevations of Blocks 4, 10 and 11 and alterations to the residential and commercial floorspace, amendments to residential unit mix and increase in the number of residential units from 439 to 455 (uplift of 16 units), and alterations to the basement including reduction in basement depth and alterations to parking layout, and the realignment of the river path.""","""Office use (Class B1), cafe/bar/restaurant (Class A3/A4), ecological centre/community centre (Class D1), medical health centre (Class D1), nursery (Class D1), rowing club (Sui Generis) and health club (Class D2).""",,,,,,"?Started. Original application 06/1749/F approved 20/2/2007 for 667 dwelings. Several amendments since have increased the approved number to 840.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-78,,"?Ogilby Housing Society site, Wellington St Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543427,178681,0.21,Unknown ownership,Yes,Permissioned,Full planning permission,2017-04-27,,,91,"?15/3295/F. Demolition of the five existing 2 and 3 storey residential blocks and redevelopment of the site to provide a new single block of between 7 and 13 storeys containing 116 homes comprising: 42 x 1-brm; 49 x 2-brm; 24 x 3-brm; 1 x 4-brm units, together with associated cycle parking, car parking, highways, and landscaping.?",,,,,,,"""Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-79,,"?The Reach, Thames Reach, Battery Rd Thamesmead?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,545206,179789,0.39,Unknown ownership,Yes,Permissioned,Full planning permission,2017-05-09,,,66,"?16/2163/F. Development comprising 66 residential dwellings (Use Class C3), a commercial/ community unit (Use Class A1-A3/D1) and associated access, servicing, parking, landscaping and works.?",?Commercial/community unit (use class A1-A3/D1)?,,,,,,"""Started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-80,,?Garages adjacent to 63 & 73 Woodlands Park Rd Greenwich?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,539345,177899,0.06,Unknown ownership,Yes,Permissioned,Full planning permission,2017-05-23,,,15,"?16/1629/F. Demolition of the existing buildings and redevelopment of the sites to provide 15 new flats and two dayrooms (7 x 1-brm, 8 x 2-brm).?","""Two dayrooms""",,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-81,,"?Albany House, 75 Southwood Rd Mottingham?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543851,172779,0.03,Unknown ownership,Yes,Permissioned,Full planning permission,2017-05-25,,,5,"?17/0774/F. Construction of two storey rear and side extensions together with the conversion of property into five (1 x 3-brm, 2 x 2-brm, 1 x 1-brm and 1 studio) self-contained flats.?",,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-82,,?29 Herbert Rd Woolwich?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543824,177723,0.01,Unknown ownership,Yes,Permissioned,Full planning permission,2017-07-07,,,9,"?16/4125/F. Change of use of part ground floor from A1 to D2 for use as a gym, change of use of upper floor from use as a gym to residential use and construction of an extension at 2nd floor level, to create nine self-contained flats at 1st and 2nd floor levels with associated roof terrace at roof level.?","""Change of use of part ground floor from A1 to D2 for use as a gym""",,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-83,,?79 Eastcombe Ave Charlton?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540542,177793,0.03,Unknown ownership,Yes,Permissioned,Full planning permission,2017-07-24,,,5,"?17/1441/F. Demolition of existing dwelling and construction of a part 2/part 2.5-storey building providing 6 apartments (2 x 1-brm, 2 x 2-brm,  2 x 3-brm) with associated landscaping, refuse and bicycle store.?",,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-84,,"?Royal Sovereign House, 40 Beresford St Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543558,179128,0.02,Unknown ownership,Yes,Permissioned,Full planning permission,2017-07-27,,,28,"?15/0016/F. Construction of an additional two floors on the building to provide a 6th and 7th storey, and change of use from office / training use (Use Class B1 / D1) to provide 319 m� retail/commercial space (Use Class A1/B1) on the ground floor and 28 residential units above comprising 5 x 1-brm, 20 x 2-brm and 3 x 3-brm flats, together with associated access, servicing, car parking, cycle parking and landscaping.?",?319 m� retail/commercial space (use class A1/B1) on ground floor?,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-85,,"?Glenmore Arms PH, 41 Edison Grove Plumstead?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,545655,177016,0.05,Unknown ownership,Yes,Permissioned,Full planning permission,2017-08-04,,,4,"?17/1805/F. Construction of a part 1/part 2-storey rear and side extension with loft conversion to facilitate the formation of 5 residential units (2 x studios, 2 x 1-brm, 1 x 2-brm) on first and second floors including associated landscaping works\,?",,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-86,,"?Antigallican PH, 428 Woolwich Rd Charlton?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,541150,178487,0.02,Unknown ownership,Yes,Permissioned,Full planning permission,2017-08-29,,,8,"?15/2272/F. Construction of a 2-storey side extension, enlargement of basement and conversion of existing hotel and part of public house into 8 self-contained flats and 2 additional commercial units (retail unit and gymnasium).?",?2 additional commercial units (retail unit and gymnasium).?,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
