OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/doc/unitary-authority/reading,Reading Borough Council,BL1001,,"""Friar Street and Station Road, Reading""",https://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1052/pdf/Brownfield_Land_Register_Maps_2019_1001_to_1052.pdf,OSGB36,471450,173640,1.0,not owned by a public authority,,not permissioned,,,,,43,"There will be active retail and leisure uses on the ground floor along Friar Street and Station Road, with a mix of uses on higher floors. Development should enhance linkages in a north-south direction to link to the Station Hill area. Listed buildings and their settings in the area will be conserved, and opportunities to improve the environment of Merchants Place will be sought.",No significant net gain of retail and leisure and offices,,43,69.0,,https://www.reading.gov.uk/media/10410/Reading-Borough-Council-Local-Plan/pdf/Local_Plan_Adopted_November_2019.pdf,Allocation CR11a in Local Plan - remainder of site unpermitted shown here,2017-12-15,2019-12-16
http://opendatacommunities.org/doc/unitary-authority/reading,Reading Borough Council,BL1002,,"""29-35 Station Road, Reading""",https://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1052/pdf/Brownfield_Land_Register_Maps_2019_1001_to_1052.pdf,OSGB36,471489,173699,0.05,not owned by a public authority,yes,permissioned,full planning permission,2017-07-10,,,33,Change of use from offices to residential under prior approval.,,,33,,,https://www.reading.gov.uk/media/10410/Reading-Borough-Council-Local-Plan/pdf/Local_Plan_Adopted_November_2019.pdf,Prior approval 170772.  Alternative permission 181930 now in place for redevelopment for hotel.  Forms part of allocation in Local Plan (ref CR11a),2017-12-15,2019-12-16
http://opendatacommunities.org/doc/unitary-authority/reading,Reading Borough Council,BL1004,,"""30-31 Friar Street, Reading""",https://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1052/pdf/Brownfield_Land_Register_Maps_2019_1001_to_1052.pdf,OSGB36,471424,173604,0.08,not owned by a public authority,,not permissioned,,,,,25,Change of use of upper floors from offices to 25 flats.,,,25,,,,Prior approval 150829 expired July 2018. Forms part of allocation in Local Plan (ref CR11a),2017-12-15,2019-12-16
http://opendatacommunities.org/doc/unitary-authority/reading,Reading Borough Council,BL1005,,"""35-38 Friar Street, Reading""",https://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1052/pdf/Brownfield_Land_Register_Maps_2019_1001_to_1052.pdf,OSGB36,471395,173603,0.1,not owned by a public authority,,not permissioned,,,,,25,Change of use of 1st to 3rd floor from offices to 25 flats,,,25,,,,Prior approval 160232 expired April 2019. Forms part of allocation in Local Plan (ref CR11a),2017-12-15,2019-12-16
http://opendatacommunities.org/doc/unitary-authority/reading,Reading Borough Council,BL1006,,"""52-55 Friar Street and 12 Greyfriars Road, Reading""",https://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1052/pdf/Brownfield_Land_Register_Maps_2019_1001_to_1052.pdf,OSGB36,471289,173617,0.26,not owned by a public authority,,permissioned,full planning permission,2018-03-20,,,135,"Demolition of existing building and structures (Class A1) and erection of 3 new buildings ranging between 6 - 12 (and basement) storeys in height to provide 135 (1xstudio, 54x1, 73x2 & 7x3-bed) residential units (Class C3), a flexible Class A1-A5 use at ground floor level fronting onto Friar St, a flexible Class A1-5, B1(a) or D2 (gym only) use at ground floor level fronting onto Greyfriars Rd, with associated access, parking, servicing, landscaping and engineering works.",Retail and related uses - 660 sq m (net loss of retail floorspace).,,135,,,,Full permission 162210.  Forms part of allocation in Local Plan (ref CR11b),2017-12-15,2019-12-16
http://opendatacommunities.org/doc/unitary-authority/reading,Reading Borough Council,BL1007,,"""Station Hill, Reading""",https://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1052/pdf/Brownfield_Land_Register_Maps_2019_1001_to_1052.pdf,OSGB36,471102,173742,2.87,not owned by a public authority,yes,permissioned,outline planning permission,2019-12-06,,,380,"Redevelopment of site for offices, town centre uses including retail, leisure and residential, infrastructure, public realm works.","Offices, retail, leisure, infrastructure",,380,570.0,,https://www.reading.gov.uk/media/10410/Reading-Borough-Council-Local-Plan/pdf/Local_Plan_Adopted_November_2019.pdf,"Outline permissions 190441 and 190442 cover the site, and would result in up to 538 dwellings.  Reserved matters for parts of site under consideration.  Some demolition complete, much of remainder underway.  Forms allocation in Local Plan (ref CR11c), and dwelling range in this entry derived from draft policy rather than permission, which is a maximum.",2017-12-15,2019-12-16
http://opendatacommunities.org/doc/unitary-authority/reading,Reading Borough Council,BL1008,,"""1-3 Greyfriars Road, Reading""",https://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1052/pdf/Brownfield_Land_Register_Maps_2019_1001_to_1052.pdf,OSGB36,471240,173630,0.03,not owned by a public authority,,not permissioned,,,,,8,Change of use or redevelopment of offices to residential,,,8,,,,"Application for development of 12 dwellings refused (070944), but a reduced scheme may be suitable",2017-12-15,2019-12-16
http://opendatacommunities.org/doc/unitary-authority/reading,Reading Borough Council,BL1009,,"""Greyfriars House, 30 Greyfriars Road, Reading""",https://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1052/pdf/Brownfield_Land_Register_Maps_2019_1001_to_1052.pdf,OSGB36,471265,173655,0.12,not owned by a public authority,,permissioned,full planning permission,2017-04-05,,,43,"Change of use from Class B1(a) (offices) to C3 (dwelling houses) to comprise of 43 apartments comprising 23 one bed flats, 19 two bed flats and a single three bed flat.",,,43,,,https://www.reading.gov.uk/media/10410/Reading-Borough-Council-Local-Plan/pdf/Local_Plan_Adopted_November_2019.pdf,Prior approval 170229.  Forms part of allocation in Local Plan (ref CR11b).,2017-12-15,2019-12-16
http://opendatacommunities.org/doc/unitary-authority/reading,Reading Borough Council,BL1011,,"""Brunel Arcade and Apex Plaza, Forbury Road, Reading""",https://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1052/pdf/Brownfield_Land_Register_Maps_2019_1001_to_1052.pdf,OSGB36,471600,173750,1.51,mixed ownership,,not permissioned,,,,,250,"This area will be developed for a mix of uses at high density, including residential and/or offices. Retail and/or leisure uses will activate the ground floor facing the southern station square.","3,000-5,000 sq m net gain of offices, 1,000-2,000 sq m net gain of retail and leisure",,250,380.0,,https://www.reading.gov.uk/media/10410/Reading-Borough-Council-Local-Plan/pdf/Local_Plan_Adopted_November_2019.pdf,Allocation CR11d in Local Plan,2017-12-15,2019-12-16
http://opendatacommunities.org/doc/unitary-authority/reading,Reading Borough Council,BL1012,,"""3-10 Market Place, Abbey Hall and Abbey Square, Reading""",https://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1052/pdf/Brownfield_Land_Register_Maps_2019_1001_to_1052.pdf,OSGB36,471740,173460,0.29,not owned by a public authority,,not permissioned,,,,,46,"Development for retail and related uses on ground floor with residential and/or offices on upper floors, designed to enhance contribution of site to Conservation Area.",Ground floor town centre uses,,46,70.0,,https://www.reading.gov.uk/media/10410/Reading-Borough-Council-Local-Plan/pdf/Local_Plan_Adopted_November_2019.pdf,Allocation CR14e in Local Plan,2017-12-15,2018-12-16
