OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/national-park-authority/exmoor,Exmoor National Park Authority,SHA/LYN/15,"""Rear of Valley Of the Rocks Hotel, Lee Road, Lynton""",271988,149535,http://www.exmoor-nationalpark.gov.uk/__data/assets/file/0006/1065183/BS_VORHotel.pdf,0.33,not owned by a public authority,,not permissioned,,,,10,10,,"

",06/12/2017,06/12/2017,
http://opendatacommunities.org/id/national-park-authority/exmoor,Exmoor National Park Authority,SHA/LYN/2,"""Bottom Meadow Car Park and Part adjoining Playgrounds, Castle Hill, Lynton""",272078,149286,http://www.exmoor-nationalpark.gov.uk/__data/assets/file/0004/1065181/BS_MeadowCP.pdf,0.41,not owned by a public authority,,not permissioned,,,,16,16,,"

",06/12/2017,06/12/2017,
http://opendatacommunities.org/id/national-park-authority/exmoor,Exmoor National Park Authority,SHA/LYN/38,"""Tors Hotel, Countisbury Hill, Lynmouth""",272488,149487,http://www.exmoor-nationalpark.gov.uk/__data/assets/file/0008/1065185/BS_TorsHotel.pdf,0.51,not owned by a public authority,,pending decision,,,http://www.exmoor-nationalpark.gov.uk/planning/planning-searches/detailed-results?appNo=62%2F41%2F17%2F009&dotAppNo=62%2E41%2E17%2E009&appAddress=The+Tors+Hotel%2C+Tors+Park%2C+Lynmouth%2C+Devon(|) http://www.exmoor-nationalpark.gov.uk/about-us/meetings-agendas-reports/exmoor-national-park-authority/07-nov-2017/cpa-62.41.17.009.pdf,,,yes,"
Re development of existing hotel to create 31 apartments retaining part of the building with units previously converted. The rest of the hotel building to be demolished and rebuilt. Development also includes the erection of two local need affordable units in the upper car park � therefore a total of 32 units in the main building and a further two in the upper car park. The 32 units will have a dual use of principal residence or holiday letting accommodation.
",06/12/2017,06/12/2017,
