OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0008,"''Chesham Car and Van Sales, Bellingdon Road''",495725.04,202592.2203,http://www.chiltern.gov.uk/planning/brownfieldregister,0.10,not owned by a public authority,,not permissioned,,,,3,5,,"
",08-Dec-17,,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0031,"''Wicks Garage, Rignall Road''",488995.70,201770.6304,http://www.chiltern.gov.uk/planning/brownfieldregister,0.17,not owned by a public authority,,not permissioned,,,,5,10,,"
",08-Dec-17,,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0063,"''The Pheasant Public House, 35 Plantation Road''",497237.44,198598.1349,http://www.chiltern.gov.uk/planning/brownfieldregister,0.35,not owned by a public authority,,permissioned,full planning permission,30-Mar-16,,,,Yes,"
Erection of five residential units, renovation and conversion of grade II listed former public house to provide a sixth residential unit",08-Dec-17,,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0108,"''Robendene, Grimsdells Lane''",496684.50,198702.7786,http://www.chiltern.gov.uk/planning/brownfieldregister,0.15,not owned by a public authority,,pending decision,,,,8,12,Yes,"
Erection of part two, part three storey building with nine apartments, associated amenity space and parking, relocation alterations to existing site access",08-Dec-17,,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0109,"''Coach Depot and Adjacent Land, Lycrome Road, Lye Green''",497649.97,203409.0269,http://www.chiltern.gov.uk/planning/brownfieldregister,0.52,not owned by a public authority,,not permissioned,,,,12,13,Yes,"Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.
",08-Dec-17,,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0128,"''Chalfont St Peter Youth Centre, Tithe Barn, Sandy Rise''",500196.40,190884.1238,http://www.chiltern.gov.uk/planning/brownfieldregister,0.24,not owned by a public authority,,not permissioned,,,,7,8,,"Any future development proposals should ensure that leisure and community facilities are reprovided.
",08-Dec-17,,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0129,"''Epilepsy Society Site (Middle Site), Chesham Lane''",500499.37,192338.186,http://www.chiltern.gov.uk/planning/brownfieldregister,2.94,not owned by a public authority,,not permissioned,,,,15,25,Yes,"Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.
",08-Dec-17,,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0130,"''Epilepsy Society Site (Debenham House and Land to Rear), Chalfont St Peter''",500377.37,192795.4659,http://www.chiltern.gov.uk/planning/brownfieldregister,4.61,not owned by a public authority,,not permissioned,,,,12,15,Yes,"Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.
",08-Dec-17,,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0131,"''Gold Hill Baptist Church, Gold Hill East, Chalfont St Peter''",499529.67,190272.0471,http://www.chiltern.gov.uk/planning/brownfieldregister,0.26,not owned by a public authority,,pending decision,,,,7,10,,"
Redevelopment of site to create thirteen dwellings comprising change of use of church (Use Class D1) to form 6 apartments (Use Class C3) incorporating alteration to roof, erection of 4 new dwellings, refurbishment of existing dwelling and two flats, and associated landscaping and parking",08-Dec-17,,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0145,"''Land at Springfield Industrial Estate, Springfield Road''",496471.54,201153.5743,http://www.chiltern.gov.uk/planning/brownfieldregister,1.81,not owned by a public authority,,pending decision,,,,55,55,,"
Outline application for up to 55 residential units with associated access infrastructure and landscaping, refurbishment and retention of existing commercial units (Matters of access only to be considered at this stage)",08-Dec-17,,
