OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR001,"Adj Mill Hill Phase 2, Mill Hill, Cleator Moor",301001,516145,https://www.copeland.gov.uk/sites/default/files/attachments/cbr001_mill_hill_phase_2.pdf,1.34,not owned by a public authority,permissioned,full planning permission,2018-04-11,,yes,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR003,County Highways Depot Holborn Hill,316824,480378,https://www.copeland.gov.uk/sites/default/files/attachments/cbr003_former_highways_depot.pdf,0.35,not owned by a public authority,permissioned,reserved matters approval,2017-01-13,,yes,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR004,Former Ashburners Compound Millom Road,317639,480314,https://www.copeland.gov.uk/sites/default/files/attachments/cbr004_former_ashburners_compound.pdf,0.16,not owned by a public authority,permissioned,full planning permission,2009-01-08,,yes,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR005,Former Cinema Buildings Bookwell Street,300964,510570,https://www.copeland.gov.uk/sites/default/files/attachments/crb005_former_cinema_egremont.pdf,0.14,not owned by a public authority,permissioned,reserved matters approval,2018-05-01,,yes,,,,,2017-12-22,2018-12-17,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR006,Former Lakeland Laundry,297405,516789,https://www.copeland.gov.uk/sites/default/files/attachments/cbr006_former_lakeland_laundary.pdf,1.31,not owned by a public authority,permissioned,full planning permission,2007-02-07,,yes,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR007,Former Nightclub Meadow Road,297739,516367,https://www.copeland.gov.uk/sites/default/files/attachments/cbr007_former_nightclub_whitehaven.pdf,0.25,not owned by a public authority,pending decision,,,,yes,,,,,2017-12-22,2018-12-17,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR008,Former Outbuildings Seacote Hotel,296284,511746,https://www.copeland.gov.uk/sites/default/files/attachments/cbr008_former_outbuildings_0.pdf,0.46,not owned by a public authority,permissioned,full planning permission,2013-09-23,,yes,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR009,Former Sekers Factory Main Street,299125,517125,https://www.copeland.gov.uk/sites/default/files/attachments/cbr009_former_sekers_factory_site_0.pdf,1.26,not owned by a public authority,permissioned,full planning permission,2017-03-31,,yes,,,,,2017-12-22,2018-12-17,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR010,"Land at East Road, Egremont",301106,511182,https://www.copeland.gov.uk/sites/default/files/attachments/cbr010_land_at_east_road_egremont.pdf,0.46,not owned by a public authority,pending decision,,,,,,,,,2017-12-22,2018-12-17,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR011,Land rear to Rusper Drive,300094,514372,https://www.copeland.gov.uk/sites/default/files/attachments/cbr011_land_rear_to_rusper_drive_0.pdf,1.55,not owned by a public authority,permissioned,outline planning permission,2017-08-15,,yes,,,,,2018-01-31,2017-12-22,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR012,"Old Welfare Home, Whitehaven",297520,516308,https://www.copeland.gov.uk/sites/default/files/attachments/cbr012_old_welfare_home_0.pdf,3.38,not owned by a public authority,permissioned,full planning permission,2015-04-20,,yes,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR013,"Poolside, Haverigg",316221,478724,https://www.copeland.gov.uk/sites/default/files/attachments/cbr013_poolside_haverigg.pdf,3.00,not owned by a public authority,permissioned,full planning permission,2016-04-13,,yes,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR014,"Romar Site, Main Street",298986,517034,https://www.copeland.gov.uk/sites/default/files/attachments/cbr014_romar_site_whitehaven_0.pdf,0.91,not owned by a public authority,permissioned,outline planning permission,2017-07-05,,yes,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR015,St Michaels Chapel Moresby Parks Road,299729,519257,https://www.copeland.gov.uk/sites/default/files/attachments/cbr015_st_michaels_chapel_moresby.pdf,0.10,not owned by a public authority,pending decision,,,,yes,,,,,2017-12-22,2018-12-17,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR016,"Station Yard, Millom",317449,480359,https://www.copeland.gov.uk/sites/default/files/attachments/cbr016_station_yard_millom.pdf,0.62,not owned by a public authority,permissioned,full planning permission,1993-09-02,,yes,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR017,"Station Yard, Moor Row",609970,1038088,https://www.copeland.gov.uk/sites/default/files/attachments/cbr017_station_yard_moor_row.pdf,1.19,not owned by a public authority,permissioned,outline planning permission,2017-01-13,,yes,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR018,Trafalgar Square Yeathouse Road,303740,517120,https://www.copeland.gov.uk/sites/default/files/attachments/cbr018_trafalgar_square_frizington.pdf,0.31,not owned by a public authority,permissioned,reserved matters approval,2017-10-18,,yes,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR019,Whites Row,297788,520335,https://www.copeland.gov.uk/sites/default/files/attachments/cbr019_whites_row_parton.pdf,0.44,not owned by a public authority,permissioned,outline planning permission,2017-03-15,,yes,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR020,"Distressed Sailors Inn, Egremont Road",298588,516259,https://www.copeland.gov.uk/attachments/cbr020-distressed-sailors-inn-egremont-road,0.1,not owned by a public authority,permissioned,outline planning permission,2018-10-29,,yes,,,,,2018-12-19,2018-12-19,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR021,"Land to Rear of Ennerdale View, Birks Road",302252,515319,https://www.copeland.gov.uk/attachments/cbr021-land-rear-ennerdale-view,3.06,not owned by a public authority,permissioned,outline planning permission,2017-06-07,,yes,,,,,2018-12-19,2018-12-19,
http://opendatacommunities.org/doc/district-council/copeland,Copeland  Borough Council,CBR022,"Kells and District Royal British Legion Club, Hill Top Road, Kells",296990,516991,https://www.copeland.gov.uk/attachments/cbr022-kells-royal-british-legion,0.22,not owned by a public authority,permissioned,full planning permission,2018-06-06,,yes,,,,,2018-12-19,2018-12-19,
