OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-002,"180 High Street, Tonbridge, Kent, TN9 1BX",559044,146792,,0.07,not owned by a public authority,,permissioned,full planning permission,28-Oct-15,https://publicaccess2.tmbc.gov.uk/online-applications/,12,,,yes,. Demolition of existing office building and the erection of a new structure to provide 12 (twelve) new 1 and 2 bedroom apartments together with 12 on-site car and cycle parking spaces and refuse facilities. Restoration of existing garden and front boundary,24/11/2017,24/11/2017,
http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-003,"Land Rear Of  182 High Street, Tonbridge, Kent, TN9 1BE",559060,146804,,0.06,not owned by a public authority,,permissioned,full planning permission,09-Jul-13,https://publicaccess2.tmbc.gov.uk/online-applications/,12,,,yes,". Variation of conditions 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 19 and 21 of planning permission TM/12/03803/FL (Construction of 9 town houses and 3 apartments; provision of 15 parking spaces for the residential development together with a further 9 garages, plus a further 30 spaces for the existing commercial use of 182 High Street; works to the scheduled ancient monument; associated landscape works; and the safeguarding of land for the provision of the Lansdowne Road link road)",25/11/2017,25/11/2017,
http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-004,"Ferns Surfacing Ltd, Bellingham Way, Larkfield, Aylesford, Kent",570674,159389,,0.53,not owned by a public authority,,permissioned,full planning permission,01-Mar-16,https://publicaccess2.tmbc.gov.uk/online-applications/,32,,,yes,". Erection of 32 no. dwellings, access road, car parking and landscaping at Bellingham Way, Aylesford, Kent",28/11/2017,28/11/2017,
http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-006,"Cricketts Farm House, Borough Green Road, Ightham, Sevenoaks, Kent",560117,157628,,0.71,not owned by a public authority,,permissioned,full planning permission,14-Mar-16,https://publicaccess2.tmbc.gov.uk/online-applications/,5,,,yes,". The retention, refurbishment and conversion of Crickets Farmhouse into 5 apartments with access, parking and landscaping works, and extensions to create a garden room and lobby/entrance area",04/12/2017,04/12/2017,
http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-007,"Land At East Street, Snodland, Kent",570626,161612,,0.69,not owned by a public authority,,permissioned,outline planning permission,21-Jun-13,https://publicaccess2.tmbc.gov.uk/online-applications/,42,,,yes,Latest pemission: 11/02330/FL: Temporary storage of 108 no. shipping containers on redundant car park at junction of East Street and May Street. Outline Application: Redevelopment of car park for 42 no. houses and flats including associated roads and parking,08/12/2017,08/12/2017,
http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-008,"Pickfords (brs Depot), Mill Hall, Aylesford, Kent",572043,158773,,1.19,not owned by a public authority,,permissioned,full planning permission,31-May-13,https://publicaccess2.tmbc.gov.uk/online-applications/,79,,,yes,. Residential development of 58 no. apartments and 21 no. town houses,09/12/2017,09/12/2017,
http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-009,"The River Centre Medway Wharf Road, Tonbridge, Kent",559344,146334,,0.35,not owned by a public authority,,not permissioned,,21-Jun-11,https://publicaccess2.tmbc.gov.uk/online-applications/,,,,yes,"Expired Permission: Redevelopment of site to provide 73 residential apartments, 34 units of boarding accommodation for students and conference delegates, lecture and meeting rooms and ancillary facilities, a children's nursery, pedestrian and cycle bridge and associated park",09/12/2017,09/12/2017,
http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-010,"Platt C Of E Primary School, Maidstone Road, Platt, Sevenoaks, Kent, TN15 8JY",562307,157438,,0.32,not owned by a public authority,,not permissioned,,17-Apr-12,https://publicaccess2.tmbc.gov.uk/online-applications/,,,,yes,Expired Permission: Extension of time limit on planning permission TM/07/01810/FL (Demolition of existing buildings and erection of 11 dwellings with car ports and access road),09/12/2017,09/12/2017,
http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-011,"Drayton Road Industial Estate, Tonbridge",559187,145540,,1.68,not owned by a public authority,,not permissioned,,,https://publicaccess2.tmbc.gov.uk/online-applications/,,,,yes,,13/12/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-012,"Office site, Quarry Hill Rd, Borough Green",560679,156882,,0.28,not owned by a public authority,,not permissioned,,,,5,,,yes,"GREEN BELT REFUSED: Planning App 16/03760/FL: Demolition of existing office building and the erection of 10 residential dwellings. Access from existing Quarry Hill Roundabout, provision of public open space, works associated with de-culverting and diversion of the watercourse, sustainable urban drainage systems; associated landscaping, infrastructure and earthworks",14/11/2017,14/11/2017,
