OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/chichester,,BLR0002,"Land south of Graylingwell Drive, Chichester, West Sussex",106604,486595,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30974,7.42,owned by a public authority,,permissioned,reserved matters approval,20/01/2017,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,160,,yes,"Demolition of existing hospital buildings and development of up to 160 new homes including retention and improvement of sports pitch/open space, new pavilion and children's play area; restoration of Martin's Farm house for residential use (included in 160 unit total); access arrangements and ancillary works and demolition of pavilion.",31/12/2017,31/12/2017,31/12/2019
http://opendatacommunities.org/id/district-council/chichester,,BLR0003,"St Wilfrids Hospice, Grosvenor Road, Donnington, West Sussex, PO19 8FP",103555,485696,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30975,0.68,not owned by a public authority,,permissioned,full planning permission,30/11/2018,https://publicaccess.chichester.gov.uk/online-applications/applicationDetails.do?keyVal=PDJKUFERIIM00&activeTab=summary,,41,,yes,"Originally included as 'Demolition of existing hospice and replacement with 21 no. residential dwellings'. Replaced in 2019 by application 'Demolition of existing hospice and erection of a 75-bed care home (within Class C2), parking, access, landscaping and other associated works'. Dwellings listed at 41 - equivalent to ratio of 1.8 in HDT.",31/12/2017,31/12/2019,
http://opendatacommunities.org/id/district-council/chichester,,BLR0004,"Home Farm Hostel, Chichester Road, Selsey, West Sussex, PO20 9DX",95581,486046,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30976,0.14,not owned by a public authority,,permissioned,full planning permission,21/06/2017,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,10,,yes,Change of use of existing agricultural workers accommodation to 10 no. residential dwellings and associated works.,31/12/2017,31/12/2017,31/12/2019
http://opendatacommunities.org/id/district-council/chichester,,BLR0005,"Land west of Maddoxwood Cottage, Lavant Road, Chichester, PO19 5RD",107334,485613,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30977,0.5,not owned by a public authority,,permissioned,full planning permission,15/08/2018,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,10,,yes,Erection of 10 no. dwellings with the associated car parking and landscaping and retention of Maddoxwood House. Provision of a foot/cycle path.,31/12/2017,31/12/2017,31/12/2019
http://opendatacommunities.org/id/district-council/chichester,,BLR0007,"Brewhurst Mill, Brewhurst Lane, Loxwood, Billingshurst, West Sussex, RH14 0RJ",131072,504590,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30978,1.47,not owned by a public authority,,permissioned,full planning permission,14/10/2015,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,1,,yes,Residential conversion of part of Brewhurst Mill to dwelling.,31/12/2017,31/12/2017,31/12/2019
http://opendatacommunities.org/id/district-council/chichester,,BLR0008,"Co-operative Food, Malcolm Road, Tangmere, Chichester, West Sussex, PO20 2HS",106551,490414,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30979,0.27,not owned by a public authority,,permissioned,full planning permission,14/03/2017,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,3,,yes,"Change of use of upper floors from vacant (A4) to 3 no. residential apartments (C3) including installation of external stair, bin and cycle store and car parking spaces.",31/12/2017,31/12/2017,
http://opendatacommunities.org/id/district-council/chichester,,BLR0009,"Land at the Tannery, Westgate, Chichester, West Sussex, PO19 3HN",104739,485412,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30980,0.55,owned by a public authority,,not permissioned,,,,,16,,,,31/12/2017,31/12/2017,
http://opendatacommunities.org/id/district-council/chichester,,BLR0010,"Metro House, Northgate, Chichester, West Sussex, PO19 3HN",105262,486075,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30981,0.2,not owned by a public authority,,not permissioned,,,,,6,,,,31/12/2017,31/12/2017,
http://opendatacommunities.org/id/district-council/chichester,,BLR0011,"Land at Police Station, Kingsham Road, Chichester, PO19 8AD",104202,486173,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30982,0.69,owned by a public authority,,not permissioned,,,,,20,,,,31/12/2017,31/12/2017,
http://opendatacommunities.org/id/district-council/chichester,,BLR0012,"Former Portfield Depot and UMA House, Oving, Chichester, West Sussex, PO19 7UW",105102,488029,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30983,2.15,not owned by a public authority,,permissioned,outline planning permission,01/03/2017,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,208,,yes,"Outline application for the re-development of the site to provide student housing of up to 521 bedrooms with a supporting student hub building, associated amenities, parking and landscaping. Dwellings listed at 208 - equilvalent to ratio of 2.5 in HDT. Decision pending on application for 88 C3 dwellings on site.",31/12/2017,31/12/2019,
