OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/EAM/0001,"Land at Beacon Farm, Eamont Bridge",352068.0,528849.0,http://eforms.eden.gov.uk/fastweb_upload/2009%20Planning%20Applications/09-0098/0098-Site-Plan.pdf,1.91,not owned by a public authority,permission,outline planning permission,2009-07-24,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=08/0447&ApplicationNumber=08%2F0447&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0098&ApplicationNumber=09%2F0098&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0446&ApplicationNumber=11%2F0446&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=13/0514&ApplicationNumber=13%2F0514&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0095&ApplicationNumber=15%2F0095&AddressPrefix=&Postcode=&Submit=Search,Y,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/EAM/0002,"Park Holme, Eamont Bridge",352356.0,528540.0,http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0151/0151-Site-Location-Plan.pdf,0.35,not owned by a public authority,permission,full planning permission,2014-07-15,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0440&ApplicationNumber=09%2F0440&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0820&ApplicationNumber=09%2F0820&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/0900&ApplicationNumber=10%2F0900&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0151&ApplicationNumber=14%2F0151&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0384&ApplicationNumber=17%2F0384&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0388&ApplicationNumber=07%2F0388&AddressPrefix=&Postcode=&Submit=Search,Y,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/LSA/0003,"Former Thompsons Board Mill, Little Salkeld",356639.0,535406.0,http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0354/0354-Location%20Plan%20-%20fmr%20Thompsons%20Board%20Paper%20Mill%20Little%20Salkeld.pdf,1.83,not owned by a public authority,permission,outline planning permission,2004-07-23,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0354&ApplicationNumber=14%2F0354&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0602&ApplicationNumber=17%2F0602&AddressPrefix=&Postcode=&Submit=Search,Y,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0004,"Former site of BBC Club, West Lane, Penrith",351427.0,529940.0,http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0836/0836-Location-Plan.pdf,0.09,owned by a public authority,permission,full planning permission,2014-12-11,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0836&ApplicationNumber=14%2F0836&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0142&ApplicationNumber=17%2F0142&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0554&ApplicationNumber=17%2F0554&AddressPrefix=&Postcode=&Submit=Search,Y,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0005,"14a Carleton Road, Penrith",352094.0,529835.0,http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0922/0922-Site-Plan.pdf,0.05,not owned by a public authority,permission,full planning permission,2015-03-05,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=04/0280&ApplicationNumber=04%2F0280&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0922&ApplicationNumber=14%2F0922&AddressPrefix=&Postcode=&Submit=Search,Y,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0006,"White Horse, Great Dockray, Penrith",351549.0,529982.0,http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0682/14-32-PL-100A%20Location%20Plan%201-1250%20A4.pdf,0.02,not owned by a public authority,permission,full planning permission,2016-01-28,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0682&ApplicationNumber=15%2F0682&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0683&ApplicationNumber=15%2F0683&AddressPrefix=&Postcode=&Submit=Search,Y,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0007,"4 Corney Square, Penrith",351462.0,530408.0,http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0870/0870-Location-Plan.pdf,0.01,not owned by a public authority,permission,full planning permission,2016-06-22,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0870&ApplicationNumber=15%2F0870&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0994&ApplicationNumber=16%2F0994&AddressPrefix=&Postcode=&Submit=Search,Y,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0008,"Brent Road, Penrith",352318.0,530610.0,http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-1168/1168-SiteLocationPlan.pdf,0.2,owned by a public authority,permission,full planning permission,2016-08-04,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/1168&ApplicationNumber=15%2F1168&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/1094&ApplicationNumber=16%2F1094&AddressPrefix=&Postcode=&Submit=Search,Y,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/GSA/0009,"Townhead Farm, Great Salkeld",355104.0,536902.0,http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-1079/1079-Site-Plan.pdf,0.4,owned by a public authority,permission,outline planning permission,2016-10-12,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/1079&ApplicationNumber=14%2F1079&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0209&ApplicationNumber=17%2F0209&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0211&ApplicationNumber=17%2F0211&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0790&ApplicationNumber=17%2F0790&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0894&ApplicationNumber=17%2F0894&AddressPrefix=&Postcode=&Submit=Search,Y,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/BOL/0010,"Croft House, South End, Bolton",363815.0,523179.0,http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0562/0562-Location_Plan.pdf,0.16,not owned by a public authority,permission,full planning permission,2016-06-09,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=05/0189&ApplicationNumber=05%2F0189&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0562&ApplicationNumber=15%2F0562&AddressPrefix=&Postcode=&Submit=Search,Y,,,,,,,
