OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,23PP,"""Holmes Lodge, 72 Claremont Road, Seaford""",4041391.08,6699.65,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.07,not owned by a public authority,not permissioned,full planning permission,2009-08-05,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ35JDXD470,yes,,,,,2017-12-21,2012-12-18,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,49PP,"""Mardon Court, Claremont Road, Seaford""",4041409.05,6210.8,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.24,not owned by a public authority,permissioned,full planning permission,2014-08-14,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=KZTZI4JD00E00,yes,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR07,"""34-40 High Street, Seaford""",4041812.76,7239.17,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.15,not owned by a public authority,permissioned,full planning permission,2013-11-14,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Application&previousKeyVal=MSHP10JD1W000&activeTab=summary&previousCaseNumber=LW%2F13%2F0575%2FCD&keyVal=LXJ2NHJD1W000,yes,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,04SF,"""Gas Works site, Blatchington Road, Seaford""",4041457.4,7295.6,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.34,mixed ownership,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ3AJDXD081,,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,05SF,"""East Street Car Park, East Street, Seaford""",4041654.22,7370.77,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.15,owned by a public authority,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,18SF,"""6 Steyne Road, Seaford""",4041890.63,7104.4,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.06,not owned by a public authority,not permissioned,full planning permission,2013-04-17,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Application&previousKeyVal=O8E6ABJDH3A00&activeTab=summary&previousCaseNumber=LW%2F16%2F0470%2FCD&keyVal=M7TD86JD1W000,yes,,,,,2018-12-12,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,25SF,"""Land at Elm Court, Blatchington Road, Seaford""",4041403.82,7405.52,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.24,not owned by a public authority,permissioned,full planning permission,2016-06-07,http://planningpa.lewes.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,yes,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,27SF,"""Seaford Constitutional Club, Crouch Lane, Seaford""",4041862.91,7381.49,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.31,not owned by a public authority,pending decision,,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ37JDXD027,yes,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,21SF,"""51-53 Blatchington Road, Seaford""",4041498.91,7202.11,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.12,not owned by a public authority,permissioned,outline planning permission,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=K5J521JD00200&activeTab=summary&previousCaseUprn=010033262911&previousCaseNumber=K5J515JD00200&keyVal=JSXWXLJD01L00,yes,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,29SF,"""Land rear of Chichester Road, Seaford""",4041436.83,7236.29,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.3,not owned by a public authority,permissioned,full planning permission,,http://planningpa.lewes.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,yes,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,20WV,"""Springfield Industrial Estate, Ditchling Road Wivelsfield""",4024915.82,6600.13,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2.3,not owned by a public authority,not permissioned,full planning permission,2015-05-21,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NDDJPQJDFSP00,yes,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,62PT,"""Land between 330-338 South Coast Road, Peacehaven""",4039867.55,784.76,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.18,not owned by a public authority,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MMSNAIJD1W000,,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,64PT,"""264 South Coast Road, Peacehaven""",4039982.1,350.53,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.12,not owned by a public authority,permissioned,full planning permission,2017-05-04,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MWGMTFJD1W000,yes,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR10,"""54 High Street, Newhaven""",4039849.98,3358.89,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.02,not owned by a public authority,permissioned,full planning permission,2015-05-28,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=000JXNJDLI000&activeTab=summary&previousCaseUprn=100060066333&previousCaseNumber=000HUXJDBU000&keyVal=JMX7UUJD00C00,yes,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR11,"""Garage Block, Rectory Close, Newhaven""",4040149,3048.31,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.07,not owned by a public authority,permissioned,full planning permission,2016-02-29,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?keyVal=NZG1HAJDMCN00&activeTab=summary,yes,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR12,"""328 South Coast Road, Peacehaven""",4039878.31,-752.11,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.05,not owned by a public authority,permissioned,full planning permission,2016-08-09,http://planningpa.lewes.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000ONAJDLI000,yes,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,64NH,"""Unit 1 Newhaven Workshop, Beach Road Industrial Estate""",4040202.22,3936.86,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,1.1,not owned by a public authority,not permissioned,,,,yes,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,45PT,"""Piddinghoe Avenue Car Park, Peacehaven""",4040234.2,619.1509,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.14,owned by a public authority,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001CL6JDLI000,yes,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,55PP,"""Unit 5 North Lane, Newhaven""",4039824.11,3344.78,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.13,not owned by a public authority,permissioned,,2018-01-24,http://padocs.lewes-eastbourne.gov.uk/civica/Resource/Civica/Handler.ashx/Doc/pagestream?cd=inline&pdf=true&docno=12942516,yes,,,,,2018-12-11,2018-12-11,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,56PP,"""Knights Court, South Road, Hamsey""",4028496.37,-997.09,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.33,not owned by a public authority,permissioned,,2017-04-27,http://padocs.lewes-eastbourne.gov.uk/civica/Resource/Civica/Handler.ashx/Doc/pagestream?cd=inline&pdf=true&docno=13030119,yes,,,,,2018-12-11,2018-12-11,
