Organisation URL,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Siteplan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PiP,Min Net Dwellings,Development Description,Non Housing Development,End Date
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR027,,"Former Hertz Rent A Car, Hyde Road, Stratton St Margaret, Swindon",,OSGB 1936 / British National Grid,415636.7056,183486.3796,0.23,Unknown,Deliverable,Permissioned,Outline,18-Dec-13,"S/18/1903 | Erection of 19no. dwellings and associated works.

S/13/0167 | Outline application for the erection of 12 no. dwellings, with alterations to existing access, service road and parking spaces.",,19,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR029,,South Marston Hotel And Spa Old Vicarage LaneSouth Marston Swindon SN3 4SH,,OSGB 1936 / British National Grid,417335.1832,186169.6589,2.49,Unknown,Deliverable,Permissioned,Full,27-Oct-17,"S/RES/18/1145 | Erection of 69no. dwellings with associated access, infrastructure, parking, landscaping and public open space - Reserved Matters from previous outline application S/18/1579.

S/18/1579 | Demolition of existing hotel buildings and redevelopment to provide up to 70no. dwellings and associated ancillary works - Without complying with conditions 18, 19 and 20 from previous permission S/OUT/15/1985 (Resubmission).

S/OUT/15/1985 | Outline application for the demolition of existing hotel buildings and redevelopment to provide up to 70no. dwellings and associated ancillary works.",,69,The site is under construction at the time of visiting the site in September 2019,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR038,,"28 & 29 Newport Street, Old Town, Swindon",,OSGB 1936 / British National Grid,416276.8028,182457.0526,0.02,Unknown,Deliverable,Permissioned,Full,06-May-16,S/16/0864 | Erection of a roof extension to accommodate 2no. dwellings and erection of 2no. dwellings to the rear and associated works. Change of use of ground floor from Class D2 to 2no. one bedroom flats.,,6,The site was under construction at the time of visiting in September 2019,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR045,,"Selina House 192 Oxford Road, Stratton St Margaret, Swindon, SN3 4HA",,OSGB 1936 / British National Grid,414963.9851,181150.9475,0.153,Unknown,Deliverable,Permissioned,Full,08-Feb-18,S/17/1478 | Demolition of care home and erection of 8 no. flats and associated works.,,8,The site was under construction at the time of visiting in September 2019,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR049,,"Union Square, Swindon",,OSGB 1936 / British National Grid,414346.7546,180400.7738,10.18,Unknown,Deliverable,Permissioned,Outline,03-May-12,"S/11/0614 | Outline application seeking redevelopment to provide mixed-use development to include office, residential, shops, restaurants & cafes, drinking establishments, hot food takeaways, healthcare facilities (including a PCT Healthcare facility), hotel, leisure, car parking (including multi-storey car park), bus interchange, public realm and associated highways works - Access not reserved.",,405,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR050,,"Land At Marlborough Park, Swindon",,OSGB 1936 / British National Grid,415015.4462,190287.3806,15.3,Unknown,Deliverable,Permissioned,Full,10-Apr-17,"S/OUT/15/2051 | A Hybrid application for a mix of residential development to include - full details of the erection of 91no. dwellings & 74no. age-restricted retirement dwellings and associated works and an outline proposal for up to 313no. dwellings, public open space and play area (Means of Access not reserved)",,91,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,19HMR004,,"Former Garage & Land, Phillips Lane, Old Town, Swindon, SN1 4BH",,OSGB 1936 / British National Grid,424882.772,183808.3654,0.19,Unknown,Deliverable,Permissioned,Full,28-Feb-19,"S/19/1589 | Erection of 37no. apartments and 2no. commercial units for Class B1 or Class A2 or Class D1 Use and associated works - 
Non-compliance with conditions 12, 13, 14 and 15 of previous permission S/18/1515

S/13/0602 | Demolition of existing building and erection of 34 no. Apartments and 2 no. Commercial Units for Class B1 or Class A2 or Class D1 Use and associated works. (Revisions to planning permission S/11/1294).",,37,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,19HMR007,,"Land Adjacent To Berkley Farm House, Swindon Road, Wroughton, Swindon, SN4 9AQ",,OSGB 1936 / British National Grid,418498.8822,186309.9384,0.287,Unknown,Deliverable,Permissioned,Full,19-Oct-17,S/16/1357 | Erection of 4no. detached dwellings and associated works.,,4,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,19HMR011,,"Former Haskins Garage, High Street, Wroughton, Swindon",,OSGB 1936 / British National Grid,414891.8813,184233.8645,0.18,Unknown,Deliverable,Permissioned,Full,04-Apr-17,"S/17/0286 | Erection of 13no. dwellings and associated works. (Variation of condition 22 of permission S/15/1190 regarding drawing numbers).

S/15/1190 | Erection of 13 no. dwellings and associated works.  Granted 27 April 2016",,13,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,19HMR014,,"Land At Holdcroft, Broad Bush, Blunsdon, Swindon",,OSGB 1936 / British National Grid,414832.2983,180675.4313,3.32,Unknown,Deliverable,Permissioned,Full,27-Mar-18,"S/17/0528 | Erection of 54no. dwellings including access, car parking, landscaping, open space, children's play area and associated works.",,54,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,19HMR021,,"Land at Alresco Childcare, Newtown Lare, Bishopstone, SN6 8PW",,OSGB 1936 / British National Grid,415544.5678,186815.0698,0.26,Unknown,Deliverable,Permissioned,Full,08-Feb-18,S/17/1826 | Erection of 2no. Dwellings and associated works,,2,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,19HMR026,,"Land at 5 Wanborough Road, Stratton St Margaret, Swindon",,OSGB 1936 / British National Grid,413625.8714,184559.0612,0.48,Unknown,Deliverable,Permissioned,Full,28-Jan-19,S/18/0265 | Erection of 15no. Dwellings and associated works,,15,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,19HMR030,,"The Former Cycle Club, 33 Dixon Street, Swindon",,OSGB 1936 / British National Grid,418871.3746,187599.6005,0.03,Unknown,Deliverable,Permissioned,Full,26-Feb-19,S/18/1523 | Demolition of exisitng building and erection of 8no flats and associated works,,8,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,19HMR038,,"Land Adjacent to Co-operative Convenience Store, Moormead Road, Wroughton, Swindon",,OSGB 1936 / British National Grid,415301.8753,183937.7701,0.07,Unknown,Deliverable,Permissioned,Full,28-Feb-19,S/OUT/17/1693 | Outline application for the erection of 2no apartments and 3no dwellings - (All matters reserved except access),,5,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,19HMR039,,"409 - 411 Cricklade Road, Swindon, SN2 1AQ",,OSGB 1936 / British National Grid,413851.4103,185209.8017,0.13,Unknown,Deliverable,Permissioned,Full,07-Mar-19,S/18/1569 | Demolition of 409 Cricklade Road and erection of 6no dwellings (one 1 bed flat and five 2 bed houses) - revision to previous permission,,6,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,19HMR041,,"98 Redcliffe Street, Swindon, SN2 2BZ",,OSGB 1936 / British National Grid,416586.1141,185740.5126,0.04,Unknown,Deliverable,Permissioned,Full,15/02/2019,S/18/1072 | Erection of a three storey block of 6no flats and associated works,,6,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181901,,Crown Timber Site Unit A Thornhill Industrial Estate South Marston Swindon,,OSGB 1936 / British National Grid,415145.4466,185107.5854,2.1,Unknown,Deliverable,Permissioned,Outline,15-May-18,"S/OUT/14/2058 | Outline application for the erection of up to 47no. dwellings and associated works with access from Thornhill Road, footpath improvements and public open space (Means of access not reserved).",,47,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181915,,"Bus Depot Eastcott Road, Old Town, SwindonSN1 3LS",,OSGB 1936 / British National Grid,415163.6729,184484.4224,0.63,Unknown,Deliverable,Permissioned,Full,21-Nov-18,"S/17/1777 | Demolition of existing buildings, erection of new buildings and conversion of existing buildings to form 45no. residential units with pedestrian access and associated parking.",,45,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181917,,Morris Street Club 20-22 Morris Street Rodbourne Swindon SN2 2HU,,OSGB 1936 / British National Grid,415498.6062,184120.2407,0.04,Unknown,Deliverable,Permissioned,Full,22-Oct-18,S/18/0380 | Partial demolition with two storey extension and alterations to allow for the conversion of the existing social club to form 4 no. 1 bedroom flats and 1 no.2 bedroom flat.,,5,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181918,,Coachbuilders House Stratton Road Stratton St Margaret Swindon,,OSGB 1936 / British National Grid,415578.2349,183822.0639,0.23,Unknown,Deliverable,Permissioned,Full,07-Sep-18,S/18/0256 | Erection of a mansard roof with dormer windows to create 8no. additional flats ( 7 one bed flats and 1 two bed flat).,,8,This site has now been constructed and completed.,,30-Sep-19
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181920,,175 - 176 Manchester Road Swindon SN1 1TU,,OSGB 1936 / British National Grid,419003.9459,184081.8686,0.18,Unknown,Deliverable,Permissioned,Full,18-Dec-18,S17/1707 | Change of use of 2no. dwellings to 6no. self contained apartments and two storey rear extension (Retrospective).,,6,This site has now been constructed and completed.,,30-Sep-19
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181922,,"2 Temple Chambers Temple Street, Swindon, SN1 1SQ",,OSGB 1936 / British National Grid,412105.9923,185605.3087,0.01,Unknown,Deliverable,Permissioned,Full,18-May-18,"S/18/0406 | Change of use of ground, first and second floor and roof space from Class A1/A2/B1 to Class C3 to provide 5no. dwellings.",,5,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181923,,"53 Victoria Road, Old Town, Swindon, SN1 3AY",,OSGB 1936 / British National Grid,418031.0332,185201.7892,,Unknown,Deliverable,Permissioned,Prior Approval,22-Aug-18,S/PRIORC/18/1149 | Prior notification application for the change of use from office (Class B1a) to 5no. flats (Class C3).,,5,This site has now been constructed and completed.,,30-Sep-20
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181924,,99-100 Victoria RoadOld TownSwindonSN1 3BE,,OSGB 1936 / British National Grid,417784.385,183550.2456,,Unknown,Deliverable,Permissioned,Prior Approval,24-May-18,S/PRIORC/18/0544 | Prior notification application for the change of use from office (Class B1) to 31no. dwellinghouses (Class C3).,,31,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0006,,"Land north of Edison Road, Dorcan",,OSGB 1936 / British National Grid,415757.5764,183327.3741,1.66547,Private Individual,Deliverable,Not permissioned,,,"S/18/1906 | Change of use of land from former factory site (use class B1) to lorry park (sui generis).
Application Granted: 10 April 2019

Outline application for the erection of up to 60 no. dwellings and associated works.
Ref. : S/OUT/17/0069
Refused",,50,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0024,,"Oak House, Rivermead Drive, Swindon",,OSGB 1936 / British National Grid,411842.9532,186606.5082,2.52151,Private Individual,Deliverable,Not permissioned,,,No Recent Planning History,,,Suitable for non residential development,Suitable,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0070,,Nythe Complex,,OSGB 1936 / British National Grid,414464.7785,185577.3562,0.933738,Swindon Borough Council,Deliverable,Not permissioned,,,No Recent Planning History,,28,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0082,,Land bounded by Netherton Close/ Cranemore Avenue/ Keswick Road,,OSGB 1936 / British National Grid,415075.3104,184516.0334,0.169387,Swindon Borough Council and others,Deliverable,Not permissioned,,,No Recent Planning History,,5,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0090,,"Coal Yard, Signal Way",,OSGB 1936 / British National Grid,414834.683,184536.4352,0.179717,Swindon Borough Council,Deliverable,Not permissioned,Full,23-Aug-14,"S/18/0971 | Erection of 1no. Dwelling and associated works
Application Granted: 24 August 2018

Application for the demolition of existing buildings and the erection of 8 no. two storey buildings. 
Ref. : S/SP/12/1339
Decision Issue Date: 23/08/2014
Permission lapsed in October 2017",,8,No works had been started at the time of visiting the site in September 2019,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0093,,"Former youth Centre, Sparcells",,OSGB 1936 / British National Grid,418989.9218,187457.7764,0.14,Unknown,Deliverable,Permissioned,Full,15-Nov-18,S/18/0460 | Erection of 6no. dwellings and associated works.,,6,The site was under construction at the time of visiting in September 2019,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0099,,North Star (Former Clares Site and Oasis Leisure Centre),,OSGB 1936 / British National Grid,414623.9495,180483.8656,13.0547,Unknown,Deliverable,Permissioned,Full,05-Mar-18,"S/RES/18/0202 | Erection of indoor ski, cinema, bowling and trampoline facilities (Class D2), shops, restaurants & cafes (Class A1 - A4), parking, landscaping, access and associated works - Reserved Matters from previous outline application S/OUT/15/0943. 
Reserved Matters Approved: 30 November 2018

Outline application for the erection of a leisure development of up to 160, 000 sq.m. To include the provision of an entertainment arena, indoor ski centre, cinema, hotel, retail, restaurants and cafes, access, parking and associated works. 
Ref. : S/OUT/15/0943
Application Granted: 5th March 2018",,,Suitable for non residential development,Suitable,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0100,,Aspen House and Granville Street Car Park,,OSGB 1936 / British National Grid,414473.9597,180802.1025,1.26874,Unknown,Developable,Pending decision,Outline,Decision pending,"Part of the site: Outline application for the erection of a mixed use development comprising up to 118 no. flats and main town centre uses Application approved at October 2017 Planning Committee subject to S106 and conditions.
Ref. : S/OUT/17/0665
Decision Issue Date: Pending.",,118,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0101,,Tented Market,,OSGB 1936 / British National Grid,414845.8649,184823.0837,0.135119,Unknown,Possibly Developable,Pending decision,Full,Decision pending,"Demolition of existing and erection of a two story buildings with retail (A1) and food & drink (A3) units.  Permission granted on appeal.
Ref. : S/15/2017
Decision Issued Date: 16/06/2016

Demolition of existing tented market and erection of a 12 storey building comprising 101no. Flats, 4no. Class A3 (Food and Drink) units, 1no. Class A1 (Shop) unit. Application granted permission subject to S106 and conditions at October 2017 Planning Committee
Ref. : S/17/0673
Decision Issued Date: Pending.

S/19/1565 | Demolition of existing tented market and erection of a two storey building comprising 4no. Class A3 (Food and Drink) units, 1no. Class A1 (Shop) unit and associated works.
Pending Determination",,101,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0111,,Thornhill Industrial Estate,,OSGB 1936 / British National Grid,414959.5271,184911.259,5.08878,Private Company,Deliverable,Not permissioned,,,"S/OUT/14/2059 | Outline application for the erection of up to 115no. dwellings and associated works with access from Thornhill Road, footpath improvements and public open space. 
Application withdrawn 15th May 2018",,,Suitable for non residential development,Suitable,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0113,,Site of disused retail units on Devizes Road,,OSGB 1936 / British National Grid,415147.1851,184821.2081,0.0775496,Unknown,Deliverable,Allocation,Full,28-Jun-17,No Recent Planning History,,5,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0115,,Sites of garages on Perrys Lane,,OSGB 1936 / British National Grid,415140.0404,184778.1963,0.114833,Unknown,Deliverable,Allocation,,,S/99/2654  Erection of 3no. four-bedroom houses with double garages (Outline) - refused 4th April 2000,,5,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0120,,Fleetway House,,OSGB 1936 / British National Grid,414796.8712,185044.7589,0.179619,Unknown,Deliverable,Permissioned,Prior Approval,28-Jun-17,"Change of use of second floor to Residential (Class C3) to provide 12 no. flats with external alterations. Permission has been granted.
Ref. : S/17/0144
Decision Issued Date: 28/06/2017",,12,No works had been started at the time of visiting the site in September 2019,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0122,,"39-45 Fleet Street, Swindon",,OSGB 1936 / British National Grid,414891.2045,185252.088,0.0848,Unknown,Deliverable,Not permissioned,Full,,No Recent Planning History,,16,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0125,,"Falcon House, Fleming Way Car Park, Debenhams and 17 The Parade",,OSGB 1936 / British National Grid,415277.0558,184615.8683,0.845724,Unknown,Deliverable,Permissioned,,26-Jul-18,S/PRIORC/18/1013 | Prior notification application for the change of use from office (Class B1a) to 90no. apartments (Class C3). | Falcon House Fleming Way Swindon SN1 1TA.  Application granted,,90,No works had been started at the time of visiting the site in September 2019,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0126,,One Sanford Street,,OSGB 1936 / British National Grid,414865.1875,184510.3242,0.143576,Unknown,Deliverable,Permissioned,,23-Nov-17,"Prior notification application for the change of use from offices (Class B1a) to dwellings (Class C3) (28no. flats). Permission has been given. 
Ref. : S/PRIORC/17/0003
Decision Issued Date: 21/02/2017

Erection of a roof extension to create 2 additional floors containing 12 no. flats. Application granted.  
Ref. : S/17/1109
Decision Issued Date: 28/06/2017",,40,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0128,,Swindon Station Car Park (South),,OSGB 1936 / British National Grid,414931.8252,185152.2245,1.83838,Unknown,Deliverable,Not permissioned,,,No Recent Planning History,,160,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0129,,Swindon Station Car Park (North),,OSGB 1936 / British National Grid,415840.1681,183602.5083,0.521877,Unknown,Deliverable,Not permissioned,,,No Recent Planning History,,52,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0132,,Princes Street Car Park,,OSGB 1936 / British National Grid,415002.4847,184897.297,0.339975,Unknown,Deliverable,Not permissioned,Prior Approval,,No Recent Planning History,,17,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0133,,Commercial Road Car Park,,OSGB 1936 / British National Grid,415226.8086,184636.5298,0.0529547,Unknown,Deliverable,Not permissioned,,,No Recent Planning History,,10,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0140,,Signal Point,,OSGB 1936 / British National Grid,415246.0661,184543.4632,0.426623,Unknown,Deliverable,Not permissioned,,13-Jul-15,"S/18/1474 | Change of use of part of ground and first floors from B1(a) (Business) to A3 (Cafe/Restaurant).
Application Granted: 20 November 2018

Prior Approval Notification for the change of use of part of ground and 1st floors and floors 2 - 12 from offices (Class B1(a)) to 136no. flats (Class C3). Prior approval not required. Ref. : S/PRIORC/15/0873 Decision Issued Date: 13/07/2015",,86,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0142,,"Locarno, Dammas Lane Car Park and The Planks Car Park",,OSGB 1936 / British National Grid,414599.4531,184921.5475,0.458772,Unknown,Deliverable,Not permissioned,,,"S/07/2805 | Redevelopment including the partial demolition, change of use and restoration of The Locarno and Old Town Hall buildings, the erection of extensions and new buildings, plus the provision of 3 no. units for mixed Class A3/ Class A4 use, outdoor seating areas in association with those uses, Registry of Births, Deaths and Marriages (Class B1), 115 no. apartments, car parking, access and landscaping works - granted 08 September 2008


S/10/0883 | Redevelopment including the partial demolition, change of use and restoration of the Locarno and Old Town Hall buildings to facilitate the provision of an 117 no. bedroom hotel (Class C1), 1 no. unit for Class A1 or Class A3 use, 3 no. units for mixed Class A3/A4 use, outdoor seating areas for use in connection with the Class A3/Class A4 units, 84 no. Residential Apartments, car parking, access and landscaping works. Refused 10 February 2011",,15,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0146,,The Parade Multistorey Car Park,,OSGB 1936 / British National Grid,415552.6094,183822.6244,0.176913,Unknown,Deliverable,Not permissioned,,,No Recent Planning History,,36,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0147,,Former Wyvern Multistorey Car Park,,OSGB 1936 / British National Grid,415612.3741,183881.4776,0.192614,Unknown,Deliverable,Not permissioned,,,"Prior Notification for the proposed demolition of multi-storey car park. Permission has been granted. 
Ref. : S/DEM/15/0737
Decision Issued Date: 04/06/2015

The multi-storey car park that was at the site has been demolished and since a new surface level car park has been installed",,38,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0148,,Wyvern Theatre and Car Park,,OSGB 1936 / British National Grid,415660.0518,183875.6557,0.325294,Unknown,Deliverable,Not permissioned,Listed Building Consent,14-Jun-18,"Erection of a new roof over existing roof terrace and walkways. Permission has been granted.
Ref. : S/SP/13/1910
Decision Issued Date: 28/02/2014",,46,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0150,,The Carriage Works,,OSGB 1936 / British National Grid,414883.2904,184907.2096,1.51779,Unknown,Deliverable,Not permissioned,Full,03-Feb-17,"Refurbishment of the existing carriage works for use as office (Class B1) use and associated works including partial demolition, alterations and new access from London Street. Permission has been granted.
Ref. : S/16/1806 & S/LBC/16/1807
Decision Issued Date: 03/02/2017",,,"Suitable for non residential development.


The works at the site have now been completed in September 2018",Suitable,05-Sep-18
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0156,,Swindon Advertiser Offices,,OSGB 1936 / British National Grid,414925.6373,184823.5443,0.145932,Unknown,Deliverable,Permissioned,Full,24-May-18,"S/19/0442 | Demolition of rear ground floor office space and erection of five storey extension and third floor extension to existing building to provide an additional 24no. apartments.
Application Granted: 24 October 2019

S/LBC/18/0329 | External and internal refurbishment of existing offices. Pending determination.
S/PRIORC/18/0544 | Prior notification application for the change of use from office (Class B1) to 31no. dwellinghouses (Class C3). Prior approval not required 24 May 2018",,31,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0157,,"Land South of Church Road, Old Town",,OSGB 1936 / British National Grid,415281.9934,184520.7488,0.0697766,Unknown,Deliverable,Pending decision,,,"S/06/2316 | Demolition of existing garages and print works and the erection of new building to facilitate the provision of 19 no. apartments (Class C3) with vehicular access, car parking, cycle parking, landscaping and associated works. Lapsed planning permission.

S/PRIORC/17/1728 | Prior notification application for the change of use from warehouse (Class B8) to 6no. dwellings (Class C3).

S/18/0545 | Demolition of car park and storage buildings and erection of 14no. dwellings and associated works. Pending determination",,14,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0158,,"Pope Bros Builders Yard, Cricklade Street",,OSGB 1936 / British National Grid,419831.7617,192779.5684,0.115949,Unknown,Deliverable,Pending decision,,,"S/18/0447  Erection of 10 no. dwellings, conversion of existing store to provide 2 no. dwellings and associated works.  

Application Granted: 25th November 2019",,12,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0168,,20 Fleet Street,,OSGB 1936 / British National Grid,415346.0353,187089.0358,0.0494926,Unknown,Deliverable,Not permissioned,,,No Recent Planning History,,10,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0170,,32-34 Bridge Street,,OSGB 1936 / British National Grid,415195.0504,187948.6766,0.0322529,Unknown,Deliverable,Not permissioned,Full,26-Apr-17,No Recent Planning History,,6,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0171,,Theatre Square,,OSGB 1936 / British National Grid,415523.5986,188567.9482,0.406895,Unknown,Deliverable,Not permissioned,,,No Recent Planning History,,21,,,
