entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2018-05-22,local-authority-eng:EDN,17/EAM/0001,"Land at Beacon Farm, Eamont Bridge",http://eforms.eden.gov.uk/fastweb_upload/2009%20Planning%20Applications/09-0098/0098-Site-Plan.pdf,yes,not owned by a public authority,permissioned,outline planning permission,,54.652448,-2.744401,1.91,24,24,,,,9d9a0457ea5f34e841b7f25a3da5c99ddb2176075946f7a3049a015849763c91
2018-05-22,local-authority-eng:EDN,17/EAM/0002,"Park Holme, Eamont Bridge",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0151/0151-Site-Location-Plan.pdf,yes,not owned by a public authority,permissioned,full planning permission,,54.649699,-2.739887,0.35,24,24,,,,9d9a0457ea5f34e841b7f25a3da5c99ddb2176075946f7a3049a015849763c91
2018-05-22,local-authority-eng:EDN,17/LSA/0003,"Former Thompsons Board Mill, Little Salkeld",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0354/0354-Location%20Plan%20-%20fmr%20Thompsons%20Board%20Paper%20Mill%20Little%20Salkeld.pdf,yes,not owned by a public authority,permissioned,outline planning permission,,54.711784,-2.674538,1.83,18,18,,,,9d9a0457ea5f34e841b7f25a3da5c99ddb2176075946f7a3049a015849763c91
2018-05-22,local-authority-eng:EDN,17/PEN/0004,"Former site of BBC Club, West Lane, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0836/0836-Location-Plan.pdf,yes,owned by a public authority,permissioned,full planning permission,,54.66219,-2.754516,0.09,28,28,,,,9d9a0457ea5f34e841b7f25a3da5c99ddb2176075946f7a3049a015849763c91
2018-05-22,local-authority-eng:EDN,17/PEN/0005,"14a Carleton Road, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0922/0922-Site-Plan.pdf,yes,not owned by a public authority,permissioned,full planning permission,,54.661311,-2.74416,0.05,9,9,,,,9d9a0457ea5f34e841b7f25a3da5c99ddb2176075946f7a3049a015849763c91
2018-05-22,local-authority-eng:EDN,17/PEN/0006,"White Horse, Great Dockray, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0682/14-32-PL-100A%20Location%20Plan%201-1250%20A4.pdf,yes,not owned by a public authority,permissioned,full planning permission,,54.66258,-2.752632,0.02,5,5,,,,9d9a0457ea5f34e841b7f25a3da5c99ddb2176075946f7a3049a015849763c91
2018-05-22,local-authority-eng:EDN,17/PEN/0007,"4 Corney Square, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0870/0870-Location-Plan.pdf,yes,not owned by a public authority,permissioned,full planning permission,,54.666399,-2.754051,0.01,5,5,,,,9d9a0457ea5f34e841b7f25a3da5c99ddb2176075946f7a3049a015849763c91
2018-05-22,local-authority-eng:EDN,17/PEN/0008,"Brent Road, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-1168/1168-SiteLocationPlan.pdf,yes,owned by a public authority,permissioned,full planning permission,,54.668296,-2.740814,0.2,7,7,,,,9d9a0457ea5f34e841b7f25a3da5c99ddb2176075946f7a3049a015849763c91
2018-05-22,local-authority-eng:EDN,17/GSA/0009,"Townhead Farm, Great Salkeld",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-1079/1079-Site-Plan.pdf,yes,owned by a public authority,permissioned,outline planning permission,,54.725092,-2.698593,0.4,9,9,,,,9d9a0457ea5f34e841b7f25a3da5c99ddb2176075946f7a3049a015849763c91
2018-05-22,local-authority-eng:EDN,17/BOL/0010,"Croft House, South End, Bolton",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0562/0562-Location_Plan.pdf,yes,not owned by a public authority,permissioned,full planning permission,,54.602478,-2.561646,0.16,5,5,,,,9d9a0457ea5f34e841b7f25a3da5c99ddb2176075946f7a3049a015849763c91
