entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2018-03-31,local-authority-eng:WLI,1,"Tesco Car Park, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,,,not permissioned,,,53.396244,-0.770725,0.36,25,25,2017-12-17,,Allocated in the Central Lincolnshire Local Plan,a67b1d41bcfeedf77d7beec23336c732f88376938b03526736d40035abd0f82a
2018-03-31,local-authority-eng:WLI,2,"Site between Wembley/Hickman Street, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,,,not permissioned,,,53.397044,-0.775094,0.81,34,34,2017-12-17,,Allocated in the Central Lincolnshire Local Plan,a67b1d41bcfeedf77d7beec23336c732f88376938b03526736d40035abd0f82a
2018-03-31,local-authority-eng:WLI,3,"West of Primrose Street, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,,,not permissioned,,,53.394527,-0.775166,2.22,83,83,2017-12-17,,Allocated in the Central Lincolnshire Local Plan,a67b1d41bcfeedf77d7beec23336c732f88376938b03526736d40035abd0f82a
2018-03-31,local-authority-eng:WLI,4,"Land enclosed by Thornton Street, Bridge Sreet, King Street and Bridge Road, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,,,not permissioned,,,53.39288,-0.774912,0.58,25,25,2017-12-17,,Allocated in the Central Lincolnshire Local Plan,a67b1d41bcfeedf77d7beec23336c732f88376938b03526736d40035abd0f82a
2018-03-31,local-authority-eng:WLI,5,"Middlefield School of Technology, Middlefield Lane, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,yes,,not permissioned,,,53.392037,-0.763748,3.98,112,112,2017-12-17,,Allocated in the Central Lincolnshire Local Plan,a67b1d41bcfeedf77d7beec23336c732f88376938b03526736d40035abd0f82a
2018-03-31,local-authority-eng:WLI,6,"Sinclairs, Ropery Road, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,,,not permissioned,,,53.401183,-0.781668,3.03,114,114,2017-12-17,,Allocated in the Central Lincolnshire Local Plan,a67b1d41bcfeedf77d7beec23336c732f88376938b03526736d40035abd0f82a
2018-03-31,local-authority-eng:WLI,7,"Land north of Northholme, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,yes,,permissioned,full planning permission,,53.404279,-0.773262,0.93,,,2017-12-17,,Allocated in the Central Lincolnshire Local Plan,a67b1d41bcfeedf77d7beec23336c732f88376938b03526736d40035abd0f82a
2018-03-31,local-authority-eng:WLI,8,"Land between North Street and Church Street, Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,,,not permissioned,,,53.403605,-0.775944,0.18,48,48,2017-12-17,,Allocated in the Central Lincolnshire Local Plan,a67b1d41bcfeedf77d7beec23336c732f88376938b03526736d40035abd0f82a
2018-03-31,local-authority-eng:WLI,9,"Land at Spring Gardens (Marshalls Rise), Gainsborough",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,yes,,permissioned,full planning permission,,53.400314,-0.770533,0.66,,,2018-12-21,,Allocated in the Central Lincolnshire Local Plan,a67b1d41bcfeedf77d7beec23336c732f88376938b03526736d40035abd0f82a
2018-03-31,local-authority-eng:WLI,10,"Neighbourhood Plan Allocation D-All Saints Lane, Nettleham",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,yes,,not permissioned,,,53.266541,-0.491299,0.38,30,30,2017-12-17,,Allocated in the Central Lincolnshire Local Plan,a67b1d41bcfeedf77d7beec23336c732f88376938b03526736d40035abd0f82a
