entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2017-10-18,local-authority-eng:NEL,BS0001,"Tower Place, Waterworks Street, Immingham",,yes,not owned by a public authority,permissioned,full planning permission,,53.61819,-0.201117,0.8,32,32,2017-10-18,,"'Developer/Owner of the site is currently pursuing the discharge of conditions for the sites planning consent. This application was validated on 2015-02-02 and is pending consideration.''
Erect 31 houses and 1 apartment",626c5e7fe3c98f251ad067e699b8f2a8b58916650cca4409d81cd54e2b1e135f
2017-10-18,local-authority-eng:NEL,BS0002,"71-85 Hamilton Street, Grimsby",,,not owned by a public authority,not permissioned,,,53.572859,-0.061584,0.27,24,30,2017-10-18,,'The site was granted planning permission for 3 dwellings and 21 apartments on 2007-11-05 but has since expired. An existing car wash forms part of the site.'',626c5e7fe3c98f251ad067e699b8f2a8b58916650cca4409d81cd54e2b1e135f
2017-10-18,local-authority-eng:NEL,BS0003,"Chapman's pond, Hawthorne Avenue, Cleethorpes",,,not owned by a public authority,not permissioned,,,53.56648,-0.03771,3.76,110,110,2017-10-18,,,626c5e7fe3c98f251ad067e699b8f2a8b58916650cca4409d81cd54e2b1e135f
2017-10-18,local-authority-eng:NEL,BS0004,"Land off Pelham Road, Cleethorpes",,yes,not owned by a public authority,permissioned,full planning permission,,53.56543,-0.03728,0.54,14,14,2017-10-18,,"S106 approved
Demolish existing commercial premise and erect 14 link homes (12 no. 3 bed link over 2 floors and 2 no. 3 bed semi detached over 3 floors)",626c5e7fe3c98f251ad067e699b8f2a8b58916650cca4409d81cd54e2b1e135f
2017-10-18,local-authority-eng:NEL,BS0005,"Land off Pelham Road, Cleethorpes",,,owned by a public authority,not permissioned,other,,53.56542,-0.03516,3.96,118,118,2017-10-18,,"The site is within close proximity to the Humber estuary and close to a designated site of local nature conservation importance, and development may have an ecological impact which will need to be assessed.''",626c5e7fe3c98f251ad067e699b8f2a8b58916650cca4409d81cd54e2b1e135f
2017-10-18,local-authority-eng:NEL,BS0006,"Land west of Cartergate, Grimsby",,,not owned by a public authority,not permissioned,,,53.56426,-0.09154,0.18,14,14,2017-10-18,,The site is currently in temporary alternative use as a car park granted permission on 2016-12-21',626c5e7fe3c98f251ad067e699b8f2a8b58916650cca4409d81cd54e2b1e135f
2017-10-18,local-authority-eng:NEL,BS0007,"Former Clifton Bingo, Grant Street, Grimsby",,yes,not owned by a public authority,permissioned,planning permission granted under an order,,53.561917,-0.030088,0.21,35,80,2017-10-18,,"Outline for LDO, erection of buildings and / or use of Land primarily for Class C3 with ancillary A1, A3, D2 and C1 use",626c5e7fe3c98f251ad067e699b8f2a8b58916650cca4409d81cd54e2b1e135f
2017-10-18,local-authority-eng:NEL,BS0008,"Former Birds-eye factory site, Ladysmith Road, Grimsby",,yes,not owned by a public authority,permissioned,outline planning permission,,53.56081,-0.06855,4.16,176,260,2017-10-18,,"This site benefits from outline planning permission and reserved matters have been approved for part of the site (DC/630/12/HEN). For plots 11-23 13 dwellings in lieu of 14.
Redevelopment into a residential development for 177 mixed dwellings, amended",626c5e7fe3c98f251ad067e699b8f2a8b58916650cca4409d81cd54e2b1e135f
2017-10-18,local-authority-eng:NEL,BS0009,"Claremont House, 7 Welholme Avenue, Grimsby",,,not owned by a public authority,pending decision,full planning permission,,53.55974,-0.08965,0.58,13,22,2017-10-18,,"Planning permission has previously been granted on the site for the alteration of Claremont House to form 13 flats, including the part demolition of the building. This consent has since expired. Currently there is application pending
Change of use of Former carehome to 2 semi-detached dwellings and erect 20 new dwellings (18 four bed and 2 three bed)",626c5e7fe3c98f251ad067e699b8f2a8b58916650cca4409d81cd54e2b1e135f
2017-10-18,local-authority-eng:NEL,BS0010,"The Cedars offices, Eastern Inway, Grimsby",,yes,not owned by a public authority,permissioned,outline planning permission,,53.553458,-0.110803,0.43,32,34,2017-10-18,,"Removal of existing buildings, erection of 1.5 and 2.5 storey buildings to provide maximum of 32 over 55s affordable accommodation",626c5e7fe3c98f251ad067e699b8f2a8b58916650cca4409d81cd54e2b1e135f
2017-10-18,local-authority-eng:NEL,BS0011,"Cordage Mill, Convamore Road, Grimsby",,,not owned by a public authority,not permissioned,,,53.56206,-0.0729,3.22,113,113,2017-10-18,,"'The site incorporates a grade II listed building, is in Flood Zone 3 and carries a potential for contamination due to its historical use as a mill. However the development of the site gives an opportunity to bring a listed building back into use.''",626c5e7fe3c98f251ad067e699b8f2a8b58916650cca4409d81cd54e2b1e135f
2017-10-18,local-authority-eng:NEL,BS0012,"Former Western School site, Cambridge Road, Grimsby",,yes,owned by a public authority,permissioned,planning permission granted under an order,,53.556057,-0.121135,10.38,,,2017-10-18,,"'To be interpreted as brownfield, the football fields should be omitted from the site area. Therefore the total site area with the potential for permission in principle is 3.96ha''
'Outline permission for LDO,  erection of buildings and / or use of Land for Class A1, A2, A3, B1, C3 and D1 uses.''",626c5e7fe3c98f251ad067e699b8f2a8b58916650cca4409d81cd54e2b1e135f
2017-10-18,local-authority-eng:NEL,BS0013,"Land off College Street, Grimsby",,yes,not owned by a public authority,permissioned,full planning permission,,53.560542,-0.094392,0.43,,,2017-10-18,,Erect 10 three bedroom and 3 four bedroom dwellings.,626c5e7fe3c98f251ad067e699b8f2a8b58916650cca4409d81cd54e2b1e135f
