entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2017-12-20,local-authority-eng:RUG,S14/001EXP,"42-54 Winfield Street, Rugby",,yes,not owned by a public authority,not permissioned,other,,52.374866,-1.243196,0.14,,,2017-12-15,,"Permission expired. Initial permission approved in 2007: Demolition of existing garages and wokshops and erection of 10 no. 2 bed apartments and 2no. 1 bed apartments and provision of parking and recreational area.

http://www.planningportal.rugby.gov.uk/fulldetail.asp?AltRef=R06/1490/MAJP&ApplicationNumber=&AddressPrefix=Winfield+Street&Postcode=&CaseOfficer=&ParishName=&AreaTeam=&WardMember=&Consultant=&DateDecidedStart=&DateDecidedEnd=&Locality=&AgentName=&ApplicantName=&ShowDecided=&DecisionDescription=&DecisionLevel=&Sort1=FullAddressPrefix&Sort2=DateReceived+DESC",1828ce4cc4bcd1132d171497a432df169258f67ad435c783befe8c8dbcee677e
2017-12-20,local-authority-eng:RUG,R16/1192,"The Coal Yard High Street CV8 3EY, Ryton on Dunsmore ",,yes,not owned by a public authority,permissioned,full planning permission,,52.366041,-1.433346,0.52,,,2017-12-15,,"Also expired permission relating to Northern part of site, indicated on plans as part of overall scheme.

http://www.planningportal.rugby.gov.uk/fulldetail.asp?AltRef=R16/1192&ApplicationNumber=r16%2F1192&AddressPrefix=&Postcode=&CaseOfficer=&ParishName=&AreaTeam=&WardMember=&Consultant=&DateDecidedStart=&DateDecidedEnd=&Locality=&AgentName=&ApplicantName=&ShowDecided=&DecisionDescription=&DecisionLevel=&Sort1=FullAddressPrefix&Sort2=DateReceived+DESC",1828ce4cc4bcd1132d171497a432df169258f67ad435c783befe8c8dbcee677e
2017-12-20,local-authority-eng:RUG,S14/013PP,"69 Temple Street, CV21 3TB, Rugby",,yes,not owned by a public authority,permissioned,full planning permission,,52.369229,-1.250328,0.09,,,2017-12-15,,"
4 No. three bed townhouses and 3 No. two bed flats with associated parking and amenity mews courtyard
http://www.planningportal.rugby.gov.uk/fulldetail.asp?AltRef=R15/0091&ApplicationNumber=&AddressPrefix=&Postcode=CV21+3TB&CaseOfficer=&ParishName=&AreaTeam=&WardMember=&Consultant=&DateDecidedStart=&DateDecidedEnd=&Locality=&AgentName=&ApplicantName=&ShowDecided=&DecisionDescription=&DecisionLevel=&Sort1=FullAddressPrefix&Sort2=DateReceived+DESC",1828ce4cc4bcd1132d171497a432df169258f67ad435c783befe8c8dbcee677e
2017-12-20,local-authority-eng:RUG,S14/022PP,"Land adjacent to 4 Princes Street CV21 2LR, Rugby",,yes,not owned by a public authority,not permissioned,other,,52.376902,-1.266681,0.03,,,2017-12-15,,"
Expired planning permission for ""Three storey building comprising 6no. 2 bed apartments and associated works, a bin store and cycle store to the rear and provision of parking to the front.""
http://www.planningportal.rugby.gov.uk/fulldetail.asp?AltRef=R14/0423&ApplicationNumber=&AddressPrefix=4+Princes+Street&Postcode=&CaseOfficer=&ParishName=&AreaTeam=&WardMember=&Consultant=&DateDecidedStart=&DateDecidedEnd=&Locality=&AgentName=&ApplicantName=&ShowDecided=&DecisionDescription=&DecisionLevel=&Sort1=FullAddressPrefix&Sort2=DateReceived+DESC",1828ce4cc4bcd1132d171497a432df169258f67ad435c783befe8c8dbcee677e
2017-12-20,local-authority-eng:RUG,S14/023PP,"Land adjacent to 9 Railway Terrace CV21 3EN, Rugby",,yes,not owned by a public authority,not permissioned,other,,52.37289,-1.257713,0.12,,,2017-12-15,,"
""14no residential apartments comprising of 13no two bed units and 1no 4 bed unit together with the formation of access and provision of parking court and associated works.""
http://www.planningportal.rugby.gov.uk/fulldetail.asp?AltRef=R13/0340&ApplicationNumber=&AddressPrefix=9+Railway+Terrace&Postcode=&CaseOfficer=&ParishName=&AreaTeam=&WardMember=&Consultant=&DateDecidedStart=&DateDecidedEnd=&Locality=&AgentName=&ApplicantName=&ShowDecided=&DecisionDescription=&DecisionLevel=&Sort1=FullAddressPrefix&Sort2=DateReceived+DESC",1828ce4cc4bcd1132d171497a432df169258f67ad435c783befe8c8dbcee677e
2017-12-20,local-authority-eng:RUG,S14/025PP,"Former Herbert Gray College Little Chruch Street, CV21AW, Rugby",,yes,not owned by a public authority,permissioned,full planning permission,,52.371902,-1.259331,0.73,,,2017-12-15,,"
Expired permission for ""Conversion & extensions to the former Herbert Gray College, including internal works, to facilitate the provision of 73 extra care residential units (Class C2) with associated facilities & works, including boundary walls & railings.""
http://www.planningportal.rugby.gov.uk/fulldetail.asp?AltRef=R13/0128&ApplicationNumber=r13%2F0128&AddressPrefix=&Postcode=&CaseOfficer=&ParishName=&AreaTeam=&WardMember=&Consultant=&DateDecidedStart=&DateDecidedEnd=&Locality=&AgentName=&ApplicantName=&ShowDecided=&DecisionDescription=&DecisionLevel=&Sort1=FullAddressPrefix&Sort2=DateReceived+DESC&Submit=Search",1828ce4cc4bcd1132d171497a432df169258f67ad435c783befe8c8dbcee677e
2016-07-08,local-authority-eng:RUG,R16/0337,"Rugby Radio Station, Watling Street, Clifton upon Dunsmore, Rugby, CV23 0AS",,yes,not owned by a public authority,permissioned,full planning permission,,52.357686,-1.187765,4.6,,,2016-07-08,,"Key Phase1 Parcels G(part), J and L(part) - Submission of reserved matters comprising access, appearance, landscaping, layout and scale for the erection of 104 dwellings together with garages, access roads, parking and associated works pursuant to outline
Key Phase1 Parcels G(part), J and L(part) - Submission of reserved matters comprising access, appearance, landscaping, layout and scale for the erection of 104 dwellings together with garages, access roads, parking and associated works pursuant to outline planning permission ref.no R11/0699 dated 21st May 2014.
http://www.planningportal.rugby.gov.uk/fulldetail.asp?AltRef=R16/0337&ApplicationNumber=r16%2F0337&AddressPrefix=&Postcode=&CaseOfficer=&ParishName=&AreaTeam=&WardMember=&Consultant=&DateDecidedStart=&DateDecidedEnd=&Locality=&AgentName=&ApplicantName=&ShowDecided=&DecisionDescription=&DecisionLevel=&Sort1=FullAddressPrefix&Sort2=DateReceived+DESC",1828ce4cc4bcd1132d171497a432df169258f67ad435c783befe8c8dbcee677e
2017-12-20,local-authority-eng:RUG,R17/0036,Land South of Technology Drive (Leicester Road Masterplan Development),,yes,not owned by a public authority,permissioned,full planning permission,,52.384658,-1.261895,4.8,,,2017-12-15,,"Remaining phase of overall masterplan. Partly built out
Erection of 231 dwellings together with open space, earthworks, balancing pond, site remediation, landscaping, car parking and other ancillary and enabling works. Re-plan of housing layout following planning approval reference R15/2074
http://www.planningportal.rugby.gov.uk/fulldetail.asp?AltRef=R17/0036&ApplicationNumber=R17%2F0036&AddressPrefix=&Postcode=&CaseOfficer=&ParishName=&AreaTeam=&WardMember=&Consultant=&DateDecidedStart=&DateDecidedEnd=&Locality=&AgentName=&ApplicantName=&ShowDecided=&DecisionDescription=&DecisionLevel=&Sort1=FullAddressPrefix&Sort2=DateReceived+DESC&Submit=Search",1828ce4cc4bcd1132d171497a432df169258f67ad435c783befe8c8dbcee677e
2017-12-20,local-authority-eng:RUG,S135,"Warwickshire College, Rugby (former Newton and Faraday Halls), Lower Hillmorton Road, Rugby",,yes,not owned by a public authority,permissioned,full planning permission,,52.369864,-1.24406,4.2,,,2017-12-15,,"Site is 75%+ Built out
Residential development of up to 131 dwellings and provision of 0.4 hectare of land for the provision of a Class C2 Extra Care facility with associated works and landscaping
http://www.planningportal.rugby.gov.uk/fulldetail.asp?AltRef=R13/0124&Scroll=4&Nothing=3&Nothing=2&ApplicationNumber=&AddressPrefix=Lower+Hillmorton+Road&Postcode=&CaseOfficer=&ParishName=&AreaTeam=&WardMember=&Consultant=&DateDecidedStart=&DateDecidedEnd=&Locality=&AgentName=&ApplicantName=&ShowDecided=&DecisionDescription=&DecisionLevel=&Sort1=FullAddressPrefix&Sort2=DateReceived+DESC&Submit=Search",1828ce4cc4bcd1132d171497a432df169258f67ad435c783befe8c8dbcee677e
2017-12-20,local-authority-eng:RUG,S14/008PP,"26 Lawford Road New Bilton CV21 2DY, Rugby",,yes,not owned by a public authority,permissioned,full planning permission,,52.371396,-1.267491,0.35,,,2017-12-15,,"
2 and a half storey building comprising an 19 bedroom residential care home (Use Class C2).
http://www.planningportal.rugby.gov.uk/fulldetail.asp?AltRef=R16/1902&ApplicationNumber=&AddressPrefix=26+Lawford+Road&Postcode=&CaseOfficer=&ParishName=&AreaTeam=&WardMember=&Consultant=&DateDecidedStart=&DateDecidedEnd=&Locality=&AgentName=&ApplicantName=&ShowDecided=&DecisionDescription=&DecisionLevel=&Sort1=FullAddressPrefix&Sort2=DateReceived+DESC",1828ce4cc4bcd1132d171497a432df169258f67ad435c783befe8c8dbcee677e
