row-number,field,issue-type,value
1,LastUpdatedDate,default,2017-12-14
1,NetDwellingsRangeFrom,missing,
1,NetDwellingsRangeTo,missing,
2,LastUpdatedDate,default,2017-12-14
2,NetDwellingsRangeFrom,missing,
2,NetDwellingsRangeTo,missing,
3,LastUpdatedDate,default,2017-12-14
3,NetDwellingsRangeFrom,missing,
3,NetDwellingsRangeTo,missing,
4,LastUpdatedDate,default,2017-12-14
4,NetDwellingsRangeFrom,missing,
4,NetDwellingsRangeTo,missing,
5,LastUpdatedDate,default,2017-12-14
5,NetDwellingsRangeFrom,missing,
5,NetDwellingsRangeTo,missing,
6,LastUpdatedDate,default,2017-12-14
6,NetDwellingsRangeFrom,missing,
6,NetDwellingsRangeTo,missing,
7,LastUpdatedDate,default,2017-12-14
7,NetDwellingsRangeFrom,missing,
7,NetDwellingsRangeTo,missing,
8,LastUpdatedDate,default,2017-12-14
8,NetDwellingsRangeFrom,missing,
8,NetDwellingsRangeTo,missing,
9,LastUpdatedDate,default,2017-12-14
9,NetDwellingsRangeFrom,missing,
9,NetDwellingsRangeTo,missing,
10,PermissionDate,date,09/08/2015 & 28/01/2016
10,LastUpdatedDate,default,2017-12-14
10,NetDwellingsRangeFrom,missing,
10,NetDwellingsRangeTo,missing,
11,LastUpdatedDate,default,2017-12-14
11,NetDwellingsRangeFrom,missing,
11,NetDwellingsRangeTo,missing,
12,LastUpdatedDate,default,2017-12-14
12,NetDwellingsRangeFrom,missing,
12,NetDwellingsRangeTo,missing,
13,LastUpdatedDate,default,2017-12-14
13,NetDwellingsRangeFrom,missing,
13,NetDwellingsRangeTo,missing,
14,LastUpdatedDate,default,2017-12-14
14,NetDwellingsRangeFrom,missing,
14,NetDwellingsRangeTo,missing,
15,LastUpdatedDate,default,2017-12-14
15,NetDwellingsRangeFrom,missing,
15,NetDwellingsRangeTo,missing,
16,LastUpdatedDate,default,2017-12-14
16,NetDwellingsRangeFrom,missing,
16,NetDwellingsRangeTo,missing,
17,LastUpdatedDate,default,2017-12-14
17,NetDwellingsRangeFrom,missing,
17,NetDwellingsRangeTo,missing,
18,LastUpdatedDate,default,2017-12-14
18,NetDwellingsRangeFrom,missing,
18,NetDwellingsRangeTo,missing,
19,LastUpdatedDate,default,2017-12-14
19,NetDwellingsRangeFrom,missing,
19,NetDwellingsRangeTo,missing,
20,LastUpdatedDate,default,2017-12-15
21,LastUpdatedDate,default,2017-12-15
22,LastUpdatedDate,default,2017-12-15
23,LastUpdatedDate,default,2017-12-15
23,NetDwellingsRangeFrom,missing,
23,NetDwellingsRangeTo,missing,
24,LastUpdatedDate,default,2017-12-15
24,NetDwellingsRangeFrom,missing,
24,NetDwellingsRangeTo,missing,
